INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2021-01-04,Buy,BLI,084310101,BERKELEY LIGHTS INC,12258,0.0133,,
ARKG,2021-01-04,Buy,VEEV,922475108,VEEVA SYSTEMS INC,31937,0.1145,,
ARKG,2021-01-04,Buy,TDOC,87918A105,TELADOC HEALTH INC,97892,0.2518,,
ARKG,2021-01-04,Buy,RHHBY,771195104,ROCHE HOLDING AG,165885,0.0952,,
ARKG,2021-01-04,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,25566,0.1631,,
ARKG,2021-01-04,Buy,NVS,66987V109,NOVARTIS AG,145574,0.1797,,
ARKK,2021-01-04,Sell,XONE,302104104,EXONE CO/THE,4875,0.0003,,
ARKQ,2021-01-04,Buy,TRMB,896239100,TRIMBLE INC,34318,0.1316,,
ARKQ,2021-01-04,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,8641,0.0161,,
ARKQ,2021-01-04,Buy,NVDA,67066G104,NVIDIA CORP,16311,0.4972,,
ARKQ,2021-01-04,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,44500,0.0681,,
ARKQ,2021-01-04,Buy,JD,47215P106,JD.COM INC,49724,0.2488,,
ARKQ,2021-01-04,Sell,SPLK,848637104,SPLUNK INC,51534,0.4987,,
ARKQ,2021-01-04,Sell,FLIR,302445101,FLIR SYSTEMS INC,392957,1.1922,,
ARKW,2021-01-04,Buy,SKLZ,83067L109,SKILLZ INC,215897,0.0747,,
ARKW,2021-01-04,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,123520,0.0547,,
ARKW,2021-01-04,Buy,NVDA,67066G104,NVIDIA CORP,49887,0.4959,,
ARKW,2021-01-04,Buy,NFLX,64110L106,NETFLIX INC,25326,0.2479,,
ARKW,2021-01-04,Sell,ROKU,77543R102,ROKU INC,113600,0.6852,,
ARKW,2021-01-04,Sell,U,91332U101,UNITY SOFTWARE INC,118893,0.3222,,
,,,,,,,,,
