INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2021-01-05,Buy,BLI,084310101,BERKELEY LIGHTS INC,43975,0.0504,,
ARKG,2021-01-05,Buy,RHHBY,771195104,ROCHE HOLDING AG,282386,0.1585,,
ARKG,2021-01-05,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,132898,0.0624,,
ARKG,2021-01-05,Buy,SURF,86877M209,SURFACE ONCOLOGY INC,202423,0.0233,,
ARKG,2021-01-05,Buy,VEEV,922475108,VEEVA SYSTEMS INC,38000,0.1344,,
ARKG,2021-01-05,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,107016,0.217,,
ARKG,2021-01-05,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,64113,0.1111,,
ARKK,2021-01-05,Sell,XONE,302104104,EXONE CO/THE,30745,0.0017,,
ARKQ,2021-01-05,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,108589,0.1677,,
ARKQ,2021-01-05,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,23201,0.0428,,
ARKQ,2021-01-05,Buy,TRMB,896239100,TRIMBLE INC,98200,0.3724,,
ARKW,2021-01-05,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,288539,0.1339,,
ARKW,2021-01-05,Buy,SKLZ,83067L109,SKILLZ INC,244637,0.0899,,
ARKW,2021-01-05,Sell,ROKU,77543R102,ROKU INC,49580,0.3006,,
ARKW,2021-01-05,Sell,U,91332U101,UNITY SOFTWARE INC,65400,0.1766,,
,,,,,,,,,
