INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2021-01-06,Buy,BLI,084310101,BERKELEY LIGHTS INC,117743,0.1313,,
ARKG,2021-01-06,Buy,RHHBY,771195104,ROCHE HOLDING AG,116997,0.0636,,
ARKG,2021-01-06,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,2239,0.001,,
ARKK,2021-01-06,Buy,TXG,88025U109,10X GENOMICS INC,336584,0.2521,,
ARKK,2021-01-06,Buy,TXG,88025U109,10X GENOMICS INC,174432,0.1323,,
ARKK,2021-01-06,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,96972,0.0364,,
ARKK,2021-01-06,Sell,XONE,302104104,EXONE CO/THE,39906,0.0022,,
ARKQ,2021-01-06,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,200,0.0004,,
ARKW,2021-01-06,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,119700,0.0593,,
,,,,,,,,,
