INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2021-01-07,Buy,ACCD,00437E102,ACCOLADE INC,2655,0.0014,,
ARKG,2021-01-07,Buy,BLI,084310101,BERKELEY LIGHTS INC,157019,0.1588,,
ARKG,2021-01-07,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,361452,0.0734,,
ARKG,2021-01-07,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,21904,0.0459,,
ARKK,2021-01-07,Buy,NVS,66987V109,NOVARTIS AG,50104,0.0233,,
ARKK,2021-01-07,Buy,SHOP,82509L107,SHOPIFY INC,21934,0.1255,,
ARKK,2021-01-07,Buy,EXAS,30063P105,EXACT SCIENCES CORP,104824,0.068,,
ARKK,2021-01-07,Buy,TXG,88025U109,10X GENOMICS INC,98628,0.0757,,
ARKK,2021-01-07,Buy,BIDU,056752108,BAIDU INC,227538,0.2371,,
ARKK,2021-01-07,Sell,VCYT,92337F107,VERACYTE INC,65291,0.0167,,
ARKK,2021-01-07,Sell,TSLA,88160R101,TESLA INC,122288,0.4873,,
ARKK,2021-01-07,Sell,XONE,302104104,EXONE CO/THE,458755,0.0283,,
ARKK,2021-01-07,Sell,PRLB,743713109,PROTO LABS INC,56851,0.0511,,
ARKK,2021-01-07,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,299238,0.0479,,
ARKK,2021-01-07,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,7749,0.0005,,
ARKK,2021-01-07,Sell,NTLA,45826J105,INTELLIA THERAPEUTICS INC,114944,0.0434,,
ARKK,2021-01-07,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,37028,0.0127,,
ARKK,2021-01-07,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,91363,0.0127,,
ARKK,2021-01-07,Sell,EDIT,28106W103,EDITAS MEDICINE INC,114579,0.0498,,
ARKK,2021-01-07,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,55080,0.0509,,
ARKK,2021-01-07,Sell,CGEN,M25722105,COMPUGEN LTD,70897,0.0047,,
ARKQ,2021-01-07,Buy,TRMB,896239100,TRIMBLE INC,112972,0.4048,,
ARKQ,2021-01-07,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,1998,0.0036,,
ARKQ,2021-01-07,Buy,MGA,559222401,MAGNA INTERNATIONAL INC,203695,0.7591,,
ARKQ,2021-01-07,Buy,DE,244199105,DEERE & CO,32657,0.4907,,
ARKQ,2021-01-07,Buy,BIDU,056752108,BAIDU INC,22506,0.235,,
ARKQ,2021-01-07,Sell,SSYS,M85548101,STRATASYS LTD,149052,0.1963,,
ARKQ,2021-01-07,Sell,TSLA,88160R101,TESLA INC,24481,0.991,,
ARKW,2021-01-07,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,121556,0.2464,,
ARKW,2021-01-07,Buy,DOCU,256163106,DOCUSIGN INC,59080,0.2459,,
ARKW,2021-01-07,Buy,BIDU,056752108,BAIDU INC,134219,0.4946,,
ARKW,2021-01-07,Sell,PD,69553P100,PAGERDUTY INC,130161,0.0946,,
ARKW,2021-01-07,Sell,PSTG,74624M102,PURE STORAGE INC,297419,0.123,,
ARKW,2021-01-07,Sell,TSLA,88160R101,TESLA INC,18034,0.2538,,
,,,,,,,,,
