INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2021-01-08,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,36948,0.2006,,
ARKF,2021-01-08,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,70296,0.2498,,
ARKG,2021-01-08,Buy,BLI,084310101,BERKELEY LIGHTS INC,36900,0.0368,,
ARKG,2021-01-08,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,27300,0.1483,,
ARKG,2021-01-08,Buy,SRPT,803607100,SAREPTA THERAPEUTICS INC,845575,0.7834,,
ARKG,2021-01-08,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,691332,0.1376,,
ARKK,2021-01-08,Buy,NVS,66987V109,NOVARTIS AG,224573,0.1015,,
ARKK,2021-01-08,Buy,TXG,88025U109,10X GENOMICS INC,204718,0.1526,,
ARKK,2021-01-08,Buy,EXAS,30063P105,EXACT SCIENCES CORP,102878,0.0653,,
ARKK,2021-01-08,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,186400,0.0691,,
ARKK,2021-01-08,Sell,VCYT,92337F107,VERACYTE INC,66092,0.0171,,
ARKK,2021-01-08,Sell,TSLA,88160R101,TESLA INC,59500,0.2506,,
ARKK,2021-01-08,Sell,XONE,302104104,EXONE CO/THE,17055,0.001,,
ARKK,2021-01-08,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,39991,0.0026,,
ARKK,2021-01-08,Sell,NTLA,45826J105,INTELLIA THERAPEUTICS INC,29306,0.011,,
ARKK,2021-01-08,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,15654,0.0051,,
ARKK,2021-01-08,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,72313,0.0096,,
ARKK,2021-01-08,Sell,CGEN,M25722105,COMPUGEN LTD,113200,0.0075,,
ARKQ,2021-01-08,Buy,MGA,559222401,MAGNA INTERNATIONAL INC,64491,0.2289,,
ARKQ,2021-01-08,Buy,TRMB,896239100,TRIMBLE INC,27849,0.0967,,
ARKQ,2021-01-08,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,71793,0.1252,,
ARKQ,2021-01-08,Buy,ROK,773903109,ROCKWELL AUTOMATION INC,19802,0.2444,,
ARKQ,2021-01-08,Sell,PRLB,743713109,PROTO LABS INC,26289,0.2323,,
ARKW,2021-01-08,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,384596,0.5074,,
ARKW,2021-01-08,Sell,TSLA,88160R101,TESLA INC,33553,0.5029,,
,,,,,,,,,
