INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2021-01-11,Buy,BMY,110122108,BRISTOL-MYERS SQUIBB CO,700044,0.4866,,
ARKG,2021-01-11,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,85124,0.4505,,
ARKG,2021-01-11,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,1289619,0.2548,,
ARKG,2021-01-11,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,97200,0.2446,,
ARKG,2021-01-11,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,626054,0.2381,,
ARKK,2021-01-11,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,667535,0.2438,,
ARKK,2021-01-11,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,63098,0.1517,,
ARKK,2021-01-11,Buy,NVS,66987V109,NOVARTIS AG,213392,0.0967,,
ARKK,2021-01-11,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,12361,0.0007,,
ARKK,2021-01-11,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,2260,0.0003,,
ARKK,2021-01-11,Sell,CGEN,M25722105,COMPUGEN LTD,8173,0.0005,,
ARKK,2021-01-11,Sell,VCYT,92337F107,VERACYTE INC,18904,0.0047,,
ARKQ,2021-01-11,Buy,LMT,539830109,LOCKHEED MARTIN CORP,64400,1.0129,,
ARKQ,2021-01-11,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,50660,0.0308,,
ARKQ,2021-01-11,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,562,0.0034,,
ARKQ,2021-01-11,Buy,TDY,879360105,TELEDYNE TECHNOLOGIES INC,23530,0.4088,,
ARKQ,2021-01-11,Sell,FLIR,302445101,FLIR SYSTEMS INC,197284,0.4871,,
ARKQ,2021-01-11,Sell,SPLK,848637104,SPLUNK INC,84979,0.6633,,
,,,,,,,,,
