INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2021-01-12,Buy,BMY,110122108,BRISTOL-MYERS SQUIBB CO,764966,0.5334,,
ARKG,2021-01-12,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,137400,0.0268,,
ARKG,2021-01-12,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,206000,0.5108,,
ARKG,2021-01-12,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,379117,0.1393,,
ARKK,2021-01-12,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,318811,0.5047,,
ARKK,2021-01-12,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,520349,0.185,,
ARKK,2021-01-12,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,42965,0.1025,,
ARKK,2021-01-12,Buy,NVS,66987V109,NOVARTIS AG,199208,0.0869,,
ARKK,2021-01-12,Buy,BIDU,056752108,BAIDU INC,452528,0.5048,,
ARKK,2021-01-12,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,33882,0.0107,,
ARKK,2021-01-12,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,11709,0.0007,,
ARKK,2021-01-12,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,75715,0.0094,,
ARKK,2021-01-12,Sell,CGEN,M25722105,COMPUGEN LTD,58241,0.0035,,
ARKK,2021-01-12,Sell,TSLA,88160R101,TESLA INC,126276,0.5055,,
ARKQ,2021-01-12,Buy,TDY,879360105,TELEDYNE TECHNOLOGIES INC,36400,0.6183,,
ARKQ,2021-01-12,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,1678,0.01,,
ARKQ,2021-01-12,Buy,BIDU,056752108,BAIDU INC,46619,0.5034,,
ARKQ,2021-01-12,Sell,FLIR,302445101,FLIR SYSTEMS INC,429010,1.0248,,
ARKQ,2021-01-12,Sell,SPLK,848637104,SPLUNK INC,59367,0.4392,,
ARKQ,2021-01-12,Sell,TSLA,88160R101,TESLA INC,13179,0.4991,,
ARKW,2021-01-12,Buy,BIDU,056752108,BAIDU INC,62632,0.6429,,
ARKW,2021-01-12,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,88906,1.2858,,
ARKW,2021-01-12,Sell,TSLA,88160R101,TESLA INC,16898,0.6161,,
,,,,,,,,,
