INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2021-01-13,Sell,CGEN,M25722105,COMPUGEN LTD,200,0,,
ARKG,2021-01-13,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,217015,0.08,,
ARKK,2021-01-13,Buy,SE,81141R100,SEA LTD,245558,0.26,,
ARKK,2021-01-13,Buy,NVS,66987V109,NOVARTIS AG,460412,0.2,,
ARKK,2021-01-13,Sell,CGEN,M25722105,COMPUGEN LTD,111100,0.01,,
ARKK,2021-01-13,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,26984,0,,
ARKK,2021-01-13,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,33987,0,,
ARKK,2021-01-13,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,452939,0.15,,
ARKQ,2021-01-13,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,676,0.01,,
ARKQ,2021-01-13,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,12791,0.01,,
ARKW,2021-01-13,Sell,ROKU,77543R102,ROKU INC,28841,0.2,,
,,,,,,,,,
