INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2021-01-14,Buy,TDOC,87918A105,TELADOC HEALTH INC,21394,0.2,,
ARKG,2021-01-14,Buy,BMY,110122108,BRISTOL-MYERS SQUIBB CO,410661,0.27,,
ARKG,2021-01-14,Buy,NVS,66987V109,NOVARTIS AG,166098,0.15,,
ARKG,2021-01-14,Buy,RHHBY,771195104,ROCHE HOLDING AG,36400,0.02,,
ARKG,2021-01-14,Buy,SRPT,803607100,SAREPTA THERAPEUTICS INC,76600,0.07,,
ARKG,2021-01-14,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,85273,0.03,,
ARKK,2021-01-14,Buy,TXG,88025U109,10X GENOMICS INC,125794,0.1,,
ARKK,2021-01-14,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,36509,0.08,,
ARKK,2021-01-14,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,65073,0,,
ARKK,2021-01-14,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,130778,0.04,,
ARKK,2021-01-14,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,38693,0,,
ARKK,2021-01-14,Sell,CGEN,M25722105,COMPUGEN LTD,145699,0.01,,
ARKQ,2021-01-14,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,8789,0.05,,
ARKQ,2021-01-14,Buy,LMT,539830109,LOCKHEED MARTIN CORP,33600,0.5,,
ARKQ,2021-01-14,Buy,TDY,879360105,TELEDYNE TECHNOLOGIES INC,13399,0.22,,
ARKW,2021-01-14,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,497100,0.2,,
,,,,,,,,,
