INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,
"Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,
,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,,
ARKW,2020-08-17,Buy,SNAP,83304A106,SNAP INC,186218,,
ARKF,2020-08-17,Buy,SNAP,83304A106,SNAP INC,104901,,
ARKW,2020-08-17,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,102800,,
ARKQ,2020-08-17,Buy,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,54700,,
ARKG,2020-08-17,Buy,CLLS,15117K103,CELLECTIS SA,50000,,
ARKQ,2020-08-17,Buy,WKHS,98138J206,WORKHORSE GROUP INC,48200,,
ARKK,2020-08-17,Buy,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,42096,,
ARKF,2020-08-17,Buy,WORK,83088V102,SLACK TECHNOLOGIES INC,32900,,
ARKF,2020-08-17,Buy,SCHW,808513105,CHARLES SCHWAB CORP/THE,26740,,
ARKF,2020-08-17,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,21894,,
ARKK,2020-08-17,Buy,HUYA,44852D108,HUYA INC,21567,,
ARKW,2020-08-17,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,15553,,
ARKG,2020-08-17,Buy,AQB,03842K200,AQUABOUNTY TECHNOLOGIES INC,13600,,
ARKF,2020-08-17,Buy,TRU,89400J107,TRANSUNION,10315,,
ARKF,2020-08-17,Buy,GWRE,40171V100,GUIDEWIRE SOFTWARE INC,10271,,
ARKG,2020-08-17,Buy,ACCD,00437E102,ACCOLADE INC,10000,,
ARKQ,2020-08-17,Buy,BYDDY,05606L100,BYD CO LTD,5843,,
ARKQ,2020-08-17,Buy,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,3126,,
ARKK,2020-08-17,Sell,Z,98954M200,ZILLOW GROUP INC,91846,,
ARKG,2020-08-17,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,56731,,
ARKF,2020-08-17,Sell,SQ,852234103,SQUARE INC,28085,,
ARKW,2020-08-17,Sell,SQ,852234103,SQUARE INC,22100,,
ARKK,2020-08-17,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,18300,,
ARKW,2020-08-17,Sell,AAPL,037833100,APPLE INC,17702,,
ARKF,2020-08-17,Sell,AAPL,037833100,APPLE INC,9932,,
ARKQ,2020-08-17,Sell,MTLS,57667T100,MATERIALISE NV,6027,,
ARKW,2020-08-17,Sell,TSLA,88160R101,TESLA INC,5600,,
ARKQ,2020-08-17,Sell,AAPL,037833100,APPLE INC,2500,,
ARKQ,2020-08-17,Sell,NVDA,67066G104,NVIDIA CORP,1980,,
ARKF,2020-08-17,Sell,MELI,58733R102,MERCADOLIBRE INC,963,,
ARKK,2020-08-14,Buy,HUYA,44852D108,HUYA INC,296497,,
ARKG,2020-08-14,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,53900,,
ARKG,2020-08-14,Buy,ACCD,00437E102,ACCOLADE INC,37944,,
ARKG,2020-08-14,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,30916,,
ARKG,2020-08-14,Sell,CSTL,14843C105,CASTLE BIOSCIENCES INC,29683,,
ARKW,2020-08-14,Sell,TSLA,88160R101,TESLA INC,1742,,
ARKQ,2020-08-14,Sell,MTLS,57667T100,MATERIALISE NV,293,,
ARKK,2020-08-13,Buy,HUYA,44852D108,HUYA INC,72360,,
ARKK,2020-08-13,Buy,TWOU,90214J101,2U INC,52404,,
ARKG,2020-08-13,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,5042,,
ARKQ,2020-08-13,Buy,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,3400,,
ARKG,2020-08-13,Sell,CGEN,M25722105,COMPUGEN LTD,108335,,
ARKK,2020-08-13,Sell,TREE,52603B107,LENDINGTREE INC,9176,,
ARKQ,2020-08-13,Sell,MTLS,57667T100,MATERIALISE NV,7446,,
ARKW,2020-08-12,Buy,LC,52603A208,LENDINGCLUB CORP,322756,,
ARKK,2020-08-12,Buy,PD,69553P100,PAGERDUTY INC,116071,,
ARKK,2020-08-12,Buy,TDOC,87918A105,TELADOC HEALTH INC,75089,,
ARKG,2020-08-12,Buy,SDGR,80810D103,SCHRODINGER INC/UNITED STATES,52900,,
ARKW,2020-08-12,Buy,TWOU,90214J101,2U INC,51743,,
ARKK,2020-08-12,Buy,TWOU,90214J101,2U INC,27218,,
ARKK,2020-08-12,Buy,HUYA,44852D108,HUYA INC,25092,,
ARKG,2020-08-12,Buy,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,14966,,
ARKQ,2020-08-12,Buy,TWOU,90214J101,2U INC,12923,,
ARKG,2020-08-12,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,9001,,
ARKQ,2020-08-12,Buy,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,2200,,
ARKG,2020-08-12,Buy,TDOC,87918A105,TELADOC HEALTH INC,1934,,
ARKG,2020-08-12,Buy,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,200,,
ARKG,2020-08-12,Sell,NVTA,46185L103,INVITAE CORP,176551,,
ARKG,2020-08-12,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,159640,,
ARKK,2020-08-12,Sell,Z,98954M200,ZILLOW GROUP INC,148066,,
ARKG,2020-08-12,Sell,CGEN,M25722105,COMPUGEN LTD,77178,,
ARKG,2020-08-12,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,65090,,
