INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,
"Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,
,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,% of ETF,,
ARKG,2020-08-31,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,0.01,,
ARKG,2020-08-31,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,0.091,,
ARKG,2020-08-31,Buy,EXAS,30063P105,EXACT SCIENCES CORP,0.159,,
ARKG,2020-08-31,Sell,GH,40131M109,GUARDANT HEALTH INC,0.234,,
ARKG,2020-08-31,Sell,NVTA,46185L103,INVITAE CORP,0.179,,
ARKG,2020-08-31,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,0.087,,
ARKK,2020-08-31,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,0.037,,
ARKK,2020-08-31,Sell,MTLS,57667T100,MATERIALISE NV,0.017,,
ARKK,2020-08-31,Buy,NTDOY,654445303,NINTENDO CO LTD,0.069,,
ARKK,2020-08-31,Buy,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,0.007,,
ARKK,2020-08-31,Buy,PD,69553P100,PAGERDUTY INC,0,,
ARKK,2020-08-31,Sell,SNAP,83304A106,SNAP INC,0.011,,
ARKK,2020-08-31,Buy,SNPS,871607107,SYNOPSYS INC,0.263,,
ARKK,2020-08-31,Buy,TREE,52603B107,LENDINGTREE INC,0.051,,
ARKK,2020-08-31,Sell,TSLA,88160R101,TESLA INC,0.215,,
ARKQ,2020-08-31,Buy,BIDU,56752108,BAIDU INC,0.193,,
ARKQ,2020-08-31,Buy,BYDDY,05606L100,BYD CO LTD,0.064,,
ARKQ,2020-08-31,Buy,NIU,65481N100,NIU TECHNOLOGIES,0.086,,
ARKQ,2020-08-31,Sell,TSLA,88160R101,TESLA INC,0.425,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
