INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-10-01,Buy,ACCD,00437E102,ACCOLADE INC,55315,0.0883,,
ARKG,2020-10-01,Buy,PHR,71944F106,PHREESIA INC,50797,0.0661,,
ARKG,2020-10-01,Buy,PSTG,74624M102,PURE STORAGE INC,19699,0.0131,,
ARKG,2020-10-01,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,378,0.0003,,
ARKK,2020-10-01,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,84808,0.094,,
ARKK,2020-10-01,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,59155,0.0169,,
ARKK,2020-10-01,Buy,SNPS,871607107,SYNOPSYS INC,43538,0.1037,,
ARKK,2020-10-01,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,22373,0.011,,
ARKK,2020-10-01,Sell,XONE,302104104,EXONE CO/THE,34079,0.0045,,
,,,,,,,,,
