INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-10-13,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,57229,0.6969,,
ARKF,2020-10-13,Sell,CRM,79466L302,SALESFORCE.COM INC,22557,0.7136,,
ARKG,2020-10-13,Buy,ACCD,00437E102,ACCOLADE INC,1900,0.0026,,
ARKG,2020-10-13,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,89700,0.1437,,
ARKG,2020-10-13,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,2998,0.0019,,
ARKK,2020-10-13,Sell,XONE,302104104,EXONE CO/THE,700,0.0001,,
ARKQ,2020-10-13,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,82454,0.2642,,
ARKQ,2020-10-13,Buy,GOOG,02079K107,ALPHABET INC,2366,0.4945,,
ARKQ,2020-10-13,Sell,XLNX,983919101,XILINX INC,15900,0.2479,,
ARKW,2020-10-13,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,125386,0.4441,,
ARKW,2020-10-13,Buy,PSTG,74624M102,PURE STORAGE INC,130398,0.0811,,
ARKW,2020-10-13,Sell,ZS,98980G102,ZSCALER INC,27437,0.145,,
,,,,,,,,,
