INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-10-14,Buy,GWRE,40171V100,GUIDEWIRE SOFTWARE INC,20929,0.254,,
ARKF,2020-10-14,Sell,SE,81141R100,SEA LTD,12331,0.2491,,
ARKG,2020-10-14,Buy,TMO,883556102,THERMO FISHER SCIENTIFIC INC,32820,0.5189,,
ARKG,2020-10-14,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,62339,0.1016,,
ARKG,2020-10-14,Buy,AAPL,037833100,APPLE INC,125517,0.5172,,
ARKG,2020-10-14,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,2032,0.0013,,
ARKK,2020-10-14,Buy,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,251233,0.0362,,
ARKK,2020-10-14,Sell,XONE,302104104,EXONE CO/THE,23307,0.0029,,
ARKQ,2020-10-14,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,48260,0.1585,,
ARKW,2020-10-14,Sell,LC,52603A208,LENDINGCLUB CORP,52000,0.0094,,
,,,,,,,,,
