INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-10-15,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,66400,0.4958,,
ARKG,2020-10-15,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,1183,0.0007,,
ARKK,2020-10-15,Buy,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,506568,0.0725,,
ARKK,2020-10-15,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,198075,0.9865,,
ARKK,2020-10-15,Sell,TWLO,90138F102,TWILIO INC,35108,0.1058,,
ARKW,2020-10-15,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,20776,0.0065,,
ARKW,2020-10-15,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,54172,0.9644,,
ARKW,2020-10-15,Buy,FSLY,31188V100,FASTLY INC,304300,0.9647,,
ARKW,2020-10-15,Sell,CRM,79466L302,SALESFORCE.COM INC,51164,0.4449,,
ARKW,2020-10-15,Sell,ROKU,77543R102,ROKU INC,38138,0.2916,,
ARKW,2020-10-15,Sell,SQ,852234103,SQUARE INC,47684,0.3014,,
ARKW,2020-10-15,Sell,TSLA,88160R101,TESLA INC,26388,0.3963,,
ARKW,2020-10-15,Sell,XLNX,983919101,XILINX INC,134469,0.5349,,
ARKW,2020-10-15,Sell,LC,52603A208,LENDINGCLUB CORP,174309,0.0294,,
,,,,,,,,,
