INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-10-19,Buy,PDD,722304102,PINDUODUO INC,25708,0.2512,,
ARKF,2020-10-19,Sell,SE,81141R100,SEA LTD,13136,0.2495,,
ARKF,2020-10-19,Sell,ZS,98980G102,ZSCALER INC,27664,0.4998,,
ARKG,2020-10-19,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,13244,0.2549,,
ARKG,2020-10-19,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,25277,0.0393,,
ARKG,2020-10-19,Buy,NVS,66987V109,NOVARTIS AG,34055,0.0962,,
ARKG,2020-10-19,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,10916,0.0143,,
ARKG,2020-10-19,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,4387,0.0027,,
ARKK,2020-10-19,Buy,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,273876,0.0398,,
ARKQ,2020-10-19,Buy,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,43713,0.4986,,
ARKQ,2020-10-19,Buy,NXPI,N6596X109,NXP SEMICONDUCTORS NV,28203,0.5,,
ARKQ,2020-10-19,Sell,XLNX,983919101,XILINX INC,66856,1.0063,,
ARKW,2020-10-19,Buy,API,00851L103,AGORA INC,71265,0.1033,,
ARKW,2020-10-19,Buy,FSLY,31188V100,FASTLY INC,70200,0.2007,,
ARKW,2020-10-19,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,138798,0.4616,,
ARKW,2020-10-19,Sell,LC,52603A208,LENDINGCLUB CORP,33959,0.0057,,
ARKW,2020-10-19,Sell,XLNX,983919101,XILINX INC,162541,0.6362,,
ARKW,2020-10-19,Sell,ZS,98980G102,ZSCALER INC,102709,0.5283,,
,,,,,,,,,
