INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-10-20,Buy,6060HK,Y989DF109,ZHONGAN ONLINE P&C INSURANCE CO LTD,436960,0.2558,,
ARKF,2020-10-20,Buy,9923HK,G9835C108,YEAHKA LTD,109600,0.0774,,
ARKF,2020-10-20,Sell,CRM,79466L302,SALESFORCE.COM INC,877,0.0258,,
ARKG,2020-10-20,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,13168,0.2571,,
ARKG,2020-10-20,Buy,NVS,66987V109,NOVARTIS AG,198717,0.5716,,
ARKG,2020-10-20,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,44012,0.0696,,
ARKG,2020-10-20,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,67329,0.0891,,
ARKG,2020-10-20,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,3471,0.0021,,
ARKG,2020-10-20,Sell,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,44254,0.0732,,
ARKG,2020-10-20,Sell,XLNX,983919101,XILINX INC,86800,0.3344,,
ARKK,2020-10-20,Buy,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,2392133,0.36,,
ARKK,2020-10-20,Sell,ZS,98980G102,ZSCALER INC,24884,0.0358,,
ARKK,2020-10-20,Sell,TER,880770102,TERADYNE INC,14,0,,
ARKK,2020-10-20,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,6930,0.0021,,
ARKW,2020-10-20,Buy,API,00851L103,AGORA INC,185440,0.2698,,
ARKW,2020-10-20,Sell,CRM,79466L302,SALESFORCE.COM INC,622,0.0054,,
ARKW,2020-10-20,Sell,LC,52603A208,LENDINGCLUB CORP,68222,0.0113,,
,,,,,,,,,
