INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-10-21,Buy,9923HK,G9835C108,YEAHKA LTD,112800,0.0788,,
ARKG,2020-10-21,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,108484,0.0926,,
ARKG,2020-10-21,Buy,NVS,66987V109,NOVARTIS AG,123271,0.366,,
ARKG,2020-10-21,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,43644,0.0716,,
ARKG,2020-10-21,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,26700,0.0347,,
ARKG,2020-10-21,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,1655,0.0011,,
ARKG,2020-10-21,Sell,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,11748,0.0193,,
ARKG,2020-10-21,Sell,XLNX,983919101,XILINX INC,55341,0.218,,
ARKK,2020-10-21,Buy,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,254400,0.0377,,
ARKK,2020-10-21,Buy,WORK,83088V102,SLACK TECHNOLOGIES INC,743700,0.211,,
ARKK,2020-10-21,Sell,XLNX,983919101,XILINX INC,184626,0.2021,,
ARKW,2020-10-21,Buy,API,00851L103,AGORA INC,88900,0.1287,,
ARKW,2020-10-21,Buy,NFLX,64110L106,NETFLIX INC,30110,0.5047,,
ARKW,2020-10-21,Buy,WORK,83088V102,SLACK TECHNOLOGIES INC,212100,0.2048,,
ARKW,2020-10-21,Sell,LC,52603A208,LENDINGCLUB CORP,9966,0.0016,,
ARKW,2020-10-21,Sell,PYPL,70450Y103,PAYPAL HOLDINGS INC,14516,0.1026,,
ARKW,2020-10-21,Sell,ROKU,77543R102,ROKU INC,27434,0.2026,,
ARKW,2020-10-21,Sell,SNAP,83304A106,SNAP INC,116882,0.1489,,
ARKW,2020-10-21,Sell,TTD,88339J105,TRADE DESK INC/THE,9678,0.2016,,
ARKW,2020-10-21,Sell,TWTR,90184L102,TWITTER INC,30426,0.051,,
,,,,,,,,,
