INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKQ,2020-10-26,Buy,BIDU,056752108,BAIDU INC,14975,0.2562,,
ARKQ,2020-10-26,Buy,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,62700,0.1488,,
ARKQ,2020-10-26,Sell,BYDDY,05606L100,BYD CO LTD,56770,0.2536,,
ARKQ,2020-10-26,Sell,SPLK,848637104,SPLUNK INC,5374,0.1459,,
ARKW,2020-10-26,Buy,IPOB,G8250T109,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP II,280528,0.1666,,
ARKW,2020-10-26,Buy,API,00851L103,AGORA INC,28761,0.0403,,
ARKW,2020-10-26,Buy,TWLO,90138F102,TWILIO INC,29139,0.2906,,
ARKW,2020-10-26,Sell,MELI,58733R102,MERCADOLIBRE INC,5600,0.2387,,
ARKW,2020-10-26,Sell,SE,81141R100,SEA LTD,55953,0.3016,,
ARKW,2020-10-26,Sell,SNAP,83304A106,SNAP INC,56400,0.0787,,
,,,,,,,,,
