INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-10-27,Buy,SHOP,82509L107,SHOPIFY INC,4235,0.5011,,
ARKF,2020-10-27,Sell,SQ,852234103,SQUARE INC,26486,0.5014,,
ARKG,2020-10-27,Buy,EXAS,30063P105,EXACT SCIENCES CORP,77929,0.3183,,
ARKG,2020-10-27,Sell,ILMN,452327109,ILLUMINA INC,22587,0.2464,,
ARKK,2020-10-27,Buy,EXAS,30063P105,EXACT SCIENCES CORP,510999,0.6193,,
ARKK,2020-10-27,Buy,TWLO,90138F102,TWILIO INC,164561,0.4699,,
ARKK,2020-10-27,Sell,XLNX,983919101,XILINX INC,369405,0.4453,,
ARKK,2020-10-27,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,36183,0.0024,,
ARKK,2020-10-27,Sell,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,35290,0.0974,,
ARKK,2020-10-27,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,24580,0.0071,,
ARKK,2020-10-27,Sell,IOVA,462260100,IOVANCE BIOTHERAPEUTICS INC,106015,0.0375,,
ARKK,2020-10-27,Sell,ILMN,452327109,ILLUMINA INC,132558,0.4102,,
ARKW,2020-10-27,Buy,API,00851L103,AGORA INC,71981,0.1023,,
ARKW,2020-10-27,Buy,IPOB,G8250T109,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP II,142500,0.0865,,
ARKW,2020-10-27,Buy,SHOP,82509L107,SHOPIFY INC,11803,0.4217,,
ARKW,2020-10-27,Sell,MELI,58733R102,MERCADOLIBRE INC,2661,0.1129,,
ARKW,2020-10-27,Sell,SNAP,83304A106,SNAP INC,227931,0.3128,,
ARKW,2020-10-27,Sell,WIX,M98068105,WIX.COM LTD,45259,0.3999,,
,,,,,,,,,
