INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-10-29,Buy,ACCD,00437E102,ACCOLADE INC,10964,0.0131,,
ARKG,2020-10-29,Buy,TDOC,87918A105,TELADOC HEALTH INC,39332,0.3038,,
ARKG,2020-10-29,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,130874,0.1149,,
ARKG,2020-10-29,Buy,EXAS,30063P105,EXACT SCIENCES CORP,16378,0.0678,,
ARKG,2020-10-29,Buy,PSNL,71535D106,PERSONALIS INC,35000,0.0322,,
ARKG,2020-10-29,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,146100,0.068,,
ARKG,2020-10-29,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,26004,0.0333,,
ARKG,2020-10-29,Sell,IOVA,462260100,IOVANCE BIOTHERAPEUTICS INC,104698,0.1294,,
ARKG,2020-10-29,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,36399,0.1213,,
ARKG,2020-10-29,Sell,CGEN,M25722105,COMPUGEN LTD,71500,0.0336,,
ARKK,2020-10-29,Buy,TDOC,87918A105,TELADOC HEALTH INC,136885,0.2964,,
ARKK,2020-10-29,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,119986,0.3006,,
ARKK,2020-10-29,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,379039,0.0264,,
ARKK,2020-10-29,Sell,ROKU,77543R102,ROKU INC,52315,0.1129,,
ARKK,2020-10-29,Sell,PINS,72352L106,PINTEREST INC,240223,0.1461,,
ARKK,2020-10-29,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,2877,0.0009,,
ARKK,2020-10-29,Sell,ILMN,452327109,ILLUMINA INC,97347,0.3052,,
ARKW,2020-10-29,Buy,TDOC,87918A105,TELADOC HEALTH INC,39274,0.2923,,
ARKW,2020-10-29,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,35463,0.3039,,
ARKW,2020-10-29,Buy,FSLY,31188V100,FASTLY INC,170100,0.3911,,
ARKW,2020-10-29,Buy,BEKE,482497104,KE HOLDINGS INC,52561,0.1258,,
ARKW,2020-10-29,Buy,API,00851L103,AGORA INC,57765,0.0809,,
ARKW,2020-10-29,Sell,PINS,72352L106,PINTEREST INC,231779,0.492,,
ARKW,2020-10-29,Sell,TWTR,90184L102,TWITTER INC,577522,0.989,,
,,,,,,,,,
