INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-10-30,Buy,TDOC,87918A105,TELADOC HEALTH INC,34106,0.2511,,
ARKG,2020-10-30,Buy,ACCD,00437E102,ACCOLADE INC,42900,0.0539,,
ARKG,2020-10-30,Buy,EXAS,30063P105,EXACT SCIENCES CORP,44230,0.1921,,
ARKG,2020-10-30,Sell,AAPL,037833100,APPLE INC,128557,0.5036,,
ARKG,2020-10-30,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,4604,0.006,,
ARKG,2020-10-30,Sell,IOVA,462260100,IOVANCE BIOTHERAPEUTICS INC,14866,0.0189,,
ARKG,2020-10-30,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,1929,0.0066,,
ARKG,2020-10-30,Sell,CGEN,M25722105,COMPUGEN LTD,597,0.0003,,
ARKK,2020-10-30,Buy,EXAS,30063P105,EXACT SCIENCES CORP,153747,0.1945,,
ARKK,2020-10-30,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,257514,0.2513,,
ARKK,2020-10-30,Buy,TDOC,87918A105,TELADOC HEALTH INC,189875,0.3902,,
ARKK,2020-10-30,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,99894,0.2526,,
ARKK,2020-10-30,Sell,TREE,52603B107,LENDINGTREE INC,13227,0.0442,,
ARKK,2020-10-30,Sell,ROKU,77543R102,ROKU INC,94132,0.1967,,
ARKK,2020-10-30,Sell,PINS,72352L106,PINTEREST INC,144600,0.0877,,
ARKK,2020-10-30,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,20187,0.0076,,
ARKK,2020-10-30,Sell,IOVA,462260100,IOVANCE BIOTHERAPEUTICS INC,55053,0.0203,,
ARKK,2020-10-30,Sell,ILMN,452327109,ILLUMINA INC,166784,0.5053,,
ARKW,2020-10-30,Buy,TDOC,87918A105,TELADOC HEALTH INC,28623,0.2023,,
ARKW,2020-10-30,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,28333,0.2533,,
ARKW,2020-10-30,Buy,BEKE,482497104,KE HOLDINGS INC,154300,0.3847,,
ARKW,2020-10-30,Buy,API,00851L103,AGORA INC,34900,0.0499,,
ARKW,2020-10-30,Sell,AMZN,023135106,AMAZON.COM INC,3493,0.3753,,
ARKW,2020-10-30,Sell,TWTR,90184L102,TWITTER INC,57532,0.085,,
,,,,,,,,,
