INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-11-02,Buy,IPOB,G8250T109,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP II,167911,0.2937,,
ARKF,2020-11-02,Sell,AAPL,037833100,APPLE INC,24358,0.294,,
ARKF,2020-11-02,Sell,PINS,72352L106,PINTEREST INC,61359,0.388,,
ARKG,2020-11-02,Buy,ACCD,00437E102,ACCOLADE INC,26100,0.0323,,
ARKG,2020-11-02,Buy,TDOC,87918A105,TELADOC HEALTH INC,65947,0.454,,
ARKG,2020-11-02,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,2219,0.0021,,
ARKG,2020-11-02,Buy,EXAS,30063P105,EXACT SCIENCES CORP,46563,0.2028,,
ARKG,2020-11-02,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,20264,0.027,,
ARKG,2020-11-02,Sell,ILMN,452327109,ILLUMINA INC,37268,0.3902,,
ARKG,2020-11-02,Sell,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,20544,0.0404,,
ARKG,2020-11-02,Sell,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,37220,0.0613,,
ARKK,2020-11-02,Buy,EXAS,30063P105,EXACT SCIENCES CORP,211989,0.2664,,
ARKK,2020-11-02,Buy,U,91332U101,UNITY SOFTWARE INC,96300,0.0974,,
ARKK,2020-11-02,Buy,TDOC,87918A105,TELADOC HEALTH INC,129316,0.2541,,
ARKK,2020-11-02,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,167224,0.4065,,
ARKK,2020-11-02,Sell,ZS,98980G102,ZSCALER INC,38123,0.053,,
ARKK,2020-11-02,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,230929,0.0165,,
ARKK,2020-11-02,Sell,ROKU,77543R102,ROKU INC,61605,0.1317,,
ARKK,2020-11-02,Sell,PINS,72352L106,PINTEREST INC,770290,0.4623,,
ARKK,2020-11-02,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,31738,0.0123,,
ARKK,2020-11-02,Sell,IOVA,462260100,IOVANCE BIOTHERAPEUTICS INC,78715,0.0296,,
ARKK,2020-11-02,Sell,ILMN,452327109,ILLUMINA INC,91916,0.2817,,
ARKK,2020-11-02,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,163739,0.0254,,
ARKQ,2020-11-02,Buy,WKHS,98138J206,WORKHORSE GROUP INC,96300,0.2044,,
ARKQ,2020-11-02,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,83453,0.2941,,
ARKQ,2020-11-02,Buy,HON,438516106,HONEYWELL INTERNATIONAL INC,21600,0.4991,,
ARKQ,2020-11-02,Sell,XLNX,983919101,XILINX INC,62995,0.9801,,
ARKW,2020-11-02,Buy,FSLY,31188V100,FASTLY INC,89600,0.2031,,
ARKW,2020-11-02,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,24294,0.1975,,
ARKW,2020-11-02,Buy,TDOC,87918A105,TELADOC HEALTH INC,38037,0.2554,,
ARKW,2020-11-02,Sell,FB,30303M102,FACEBOOK INC,26776,0.2444,,
ARKW,2020-11-02,Sell,PINS,72352L106,PINTEREST INC,194851,0.3886,,
,,,,,,,,,
