INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-11-03,Buy,BABA,01609W102,ALIBABA GROUP HOLDING LTD,9443,0.3023,,
ARKF,2020-11-03,Buy,IPOB,G8250T109,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP II,126758,0.2283,,
ARKF,2020-11-03,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,24285,0.5018,,
ARKF,2020-11-03,Sell,PDD,722304102,PINDUODUO INC,27934,0.2986,,
ARKF,2020-11-03,Sell,SNAP,83304A106,SNAP INC,43300,0.1954,,
ARKF,2020-11-03,Sell,SQ,852234103,SQUARE INC,28335,0.5004,,
ARKG,2020-11-03,Buy,ACCD,00437E102,ACCOLADE INC,2617,0.0031,,
ARKG,2020-11-03,Sell,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,24534,0.0468,,
ARKG,2020-11-03,Sell,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,21500,0.0355,,
ARKK,2020-11-03,Buy,EXAS,30063P105,EXACT SCIENCES CORP,109556,0.1361,,
ARKK,2020-11-03,Buy,TDOC,87918A105,TELADOC HEALTH INC,104379,0.2042,,
ARKK,2020-11-03,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,60827,0.0462,,
ARKK,2020-11-03,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,271692,0.4981,,
ARKK,2020-11-03,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,267179,0.4984,,
ARKK,2020-11-03,Sell,ZS,98980G102,ZSCALER INC,73561,0.1002,,
ARKK,2020-11-03,Sell,TSLA,88160R101,TESLA INC,152802,0.6503,,
ARKK,2020-11-03,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,697201,0.0497,,
ARKK,2020-11-03,Sell,SQ,852234103,SQUARE INC,417942,0.668,,
ARKK,2020-11-03,Sell,ROKU,77543R102,ROKU INC,6471,0.0135,,
ARKK,2020-11-03,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,25640,0.0097,,
ARKK,2020-11-03,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,19476,0.006,,
ARKK,2020-11-03,Sell,ILMN,452327109,ILLUMINA INC,9721,0.0289,,
ARKK,2020-11-03,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,545308,0.0823,,
ARKW,2020-11-03,Buy,TDOC,87918A105,TELADOC HEALTH INC,28714,0.1937,,
ARKW,2020-11-03,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,194818,0.509,,
ARKW,2020-11-03,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,116504,0.749,,
ARKW,2020-11-03,Buy,BABA,01609W102,ALIBABA GROUP HOLDING LTD,29683,0.3006,,
ARKW,2020-11-03,Sell,PINS,72352L106,PINTEREST INC,71760,0.1477,,
ARKW,2020-11-03,Sell,SNAP,83304A106,SNAP INC,107430,0.1532,,
ARKW,2020-11-03,Sell,SQ,852234103,SQUARE INC,71147,0.3925,,
ARKW,2020-11-03,Sell,AMZN,023135106,AMAZON.COM INC,1853,0.1949,,
ARKW,2020-11-03,Sell,TSLA,88160R101,TESLA INC,43406,0.6339,,
ARKW,2020-11-03,Sell,VCYT,92337F107,VERACYTE INC,25199,0.0333,,
ARKW,2020-11-03,Sell,Z,98954M200,ZILLOW GROUP INC,47920,0.1521,,
,,,,,,,,,
