INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-11-04,Buy,4689JP,J9894K105,Z HOLDINGS CORP,567102,0.3807,,
ARKF,2020-11-04,Buy,IPOB,G8250T109,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP II,43300,0.0787,,
ARKF,2020-11-04,Sell,SNAP,83304A106,SNAP INC,23297,0.1013,,
ARKG,2020-11-04,Buy,ACCD,00437E102,ACCOLADE INC,47639,0.0568,,
ARKG,2020-11-04,Buy,EXAS,30063P105,EXACT SCIENCES CORP,48048,0.2002,,
ARKG,2020-11-04,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,113271,0.0317,,
ARKG,2020-11-04,Sell,ILMN,452327109,ILLUMINA INC,9247,0.0966,,
ARKG,2020-11-04,Sell,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,20243,0.0399,,
ARKK,2020-11-04,Buy,EXAS,30063P105,EXACT SCIENCES CORP,55030,0.067,,
ARKK,2020-11-04,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,112200,0.0852,,
ARKK,2020-11-04,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,488378,0.0718,,
ARKK,2020-11-04,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,47000,0.0148,,
ARKK,2020-11-04,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,30414,0.0115,,
ARKW,2020-11-04,Sell,VCYT,92337F107,VERACYTE INC,22615,0.0295,,
,,,,,,,,,
