INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-11-05,Buy,TREE,52603B107,LENDINGTREE INC,8352,0.2517,,
ARKF,2020-11-05,Sell,MELI,58733R102,MERCADOLIBRE INC,1660,0.2471,,
ARKG,2020-11-05,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,44198,0.0114,,
ARKK,2020-11-05,Buy,WORK,83088V102,SLACK TECHNOLOGIES INC,812000,0.2042,,
ARKK,2020-11-05,Buy,TREE,52603B107,LENDINGTREE INC,94462,0.2593,,
ARKK,2020-11-05,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,109695,0.0824,,
ARKK,2020-11-05,Sell,SQ,852234103,SQUARE INC,62917,0.1017,,
ARKK,2020-11-05,Sell,ZS,98980G102,ZSCALER INC,73855,0.1031,,
ARKK,2020-11-05,Sell,Z,98954M200,ZILLOW GROUP INC,49536,0.0477,,
ARKK,2020-11-05,Sell,XONE,302104104,EXONE CO/THE,29942,0.0029,,
ARKK,2020-11-05,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,474800,0.0661,,
ARKK,2020-11-05,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,58464,0.019,,
ARKK,2020-11-05,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,16860,0.0062,,
ARKW,2020-11-05,Buy,TREE,52603B107,LENDINGTREE INC,25862,0.2459,,
ARKW,2020-11-05,Sell,MELI,58733R102,MERCADOLIBRE INC,3261,0.1506,,
ARKW,2020-11-05,Sell,SQ,852234103,SQUARE INC,16472,0.0925,,
ARKW,2020-11-05,Sell,VCYT,92337F107,VERACYTE INC,23166,0.0306,,
,,,,,,,,,
