INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-11-09,Buy,DOCU,256163106,DOCUSIGN INC,20335,0.4089,,
ARKF,2020-11-09,Buy,Z,98954M200,ZILLOW GROUP INC,49345,0.5058,,
ARKF,2020-11-09,Buy,SHOP,82509L107,SHOPIFY INC,3957,0.3549,,
ARKF,2020-11-09,Buy,WDAY,98138H101,WORKDAY INC,13684,0.3014,,
ARKF,2020-11-09,Sell,ZS,98980G102,ZSCALER INC,34824,0.4467,,
ARKF,2020-11-09,Sell,SNAP,83304A106,SNAP INC,59984,0.2469,,
ARKF,2020-11-09,Sell,PINS,72352L106,PINTEREST INC,87042,0.5006,,
ARKF,2020-11-09,Sell,MELI,58733R102,MERCADOLIBRE INC,2723,0.3604,,
ARKG,2020-11-09,Buy,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,95000,0.1074,,
ARKG,2020-11-09,Buy,TDOC,87918A105,TELADOC HEALTH INC,41794,0.2595,,
ARKG,2020-11-09,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,46851,0.0142,,
ARKG,2020-11-09,Sell,CGEN,M25722105,COMPUGEN LTD,13828,0.0059,,
ARKK,2020-11-09,Buy,TWST,90184D100,TWIST BIOSCIENCE CORP,114128,0.0993,,
ARKK,2020-11-09,Buy,TDOC,87918A105,TELADOC HEALTH INC,152114,0.2606,,
ARKK,2020-11-09,Buy,ROKU,77543R102,ROKU INC,98218,0.2117,,
ARKK,2020-11-09,Buy,NTDOY,654445303,NINTENDO CO LTD,242700,0.1526,,
ARKK,2020-11-09,Buy,DOCU,256163106,DOCUSIGN INC,104719,0.2106,,
ARKK,2020-11-09,Sell,FB,30303M102,FACEBOOK INC,343311,0.9222,,
ARKK,2020-11-09,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,670,0.0001,,
ARKK,2020-11-09,Sell,XONE,302104104,EXONE CO/THE,21581,0.0022,,
ARKK,2020-11-09,Sell,ZS,98980G102,ZSCALER INC,78816,0.0992,,
ARKQ,2020-11-09,Buy,ADSK,052769106,AUTODESK INC,6532,0.2045,,
ARKQ,2020-11-09,Buy,ANSS,03662Q105,ANSYS INC,12981,0.5049,,
ARKW,2020-11-09,Buy,TDOC,87918A105,TELADOC HEALTH INC,41570,0.2601,,
ARKW,2020-11-09,Buy,NET,18915M107,CLOUDFLARE INC,249700,0.5182,,
ARKW,2020-11-09,Buy,DOCU,256163106,DOCUSIGN INC,29865,0.2092,,
ARKW,2020-11-09,Sell,FB,30303M102,FACEBOOK INC,49535,0.4588,,
ARKW,2020-11-09,Sell,PINS,72352L106,PINTEREST INC,66113,0.129,,
ARKW,2020-11-09,Sell,SNAP,83304A106,SNAP INC,87337,0.1212,,
ARKW,2020-11-09,Sell,TTD,88339J105,TRADE DESK INC/THE,9903,0.2546,,
,,,,,,,,,
