INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-11-10,Buy,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,161334,0.1919,,
ARKG,2020-11-10,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,12599,0.0201,,
ARKG,2020-11-10,Buy,INCY,45337C102,INCYTE CORP,76938,0.2062,,
ARKG,2020-11-10,Buy,TDOC,87918A105,TELADOC HEALTH INC,35533,0.1946,,
ARKG,2020-11-10,Sell,CGEN,M25722105,COMPUGEN LTD,34700,0.0144,,
ARKK,2020-11-10,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,33322,0.1178,,
ARKK,2020-11-10,Buy,TWST,90184D100,TWIST BIOSCIENCE CORP,51314,0.0467,,
ARKK,2020-11-10,Buy,TDOC,87918A105,TELADOC HEALTH INC,120560,0.1988,,
ARKK,2020-11-10,Buy,ROKU,77543R102,ROKU INC,74085,0.1537,,
ARKK,2020-11-10,Buy,NTDOY,654445303,NINTENDO CO LTD,97228,0.0596,,
ARKK,2020-11-10,Sell,SSYS,M85548101,STRATASYS LTD,20715,0.0029,,
ARKK,2020-11-10,Sell,XONE,302104104,EXONE CO/THE,26845,0.0028,,
ARKK,2020-11-10,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,12822,0.0041,,
ARKW,2020-11-10,Buy,TDOC,87918A105,TELADOC HEALTH INC,34417,0.195,,
ARKW,2020-11-10,Buy,ROKU,77543R102,ROKU INC,48907,0.3531,,
ARKW,2020-11-10,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,10840,0.132,,
ARKW,2020-11-10,Sell,SPLK,848637104,SPLUNK INC,33293,0.2051,,
ARKW,2020-11-10,Sell,Z,98954M200,ZILLOW GROUP INC,46840,0.154,,
,,,,,,,,,
