INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-11-11,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,200,0.0003,,
ARKG,2020-11-11,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,5636,0.0048,,
ARKG,2020-11-11,Sell,CGEN,M25722105,COMPUGEN LTD,68593,0.0273,,
ARKG,2020-11-11,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,27653,0.007,,
ARKK,2020-11-11,Buy,ROKU,77543R102,ROKU INC,66159,0.1372,,
ARKK,2020-11-11,Buy,NTDOY,654445303,NINTENDO CO LTD,124900,0.0725,,
ARKK,2020-11-11,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,74929,0.0235,,
ARKK,2020-11-11,Sell,FB,30303M102,FACEBOOK INC,4896,0.0124,,
ARKK,2020-11-11,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,551104,0.0706,,
ARKK,2020-11-11,Sell,SSYS,M85548101,STRATASYS LTD,233561,0.0315,,
ARKK,2020-11-11,Sell,XONE,302104104,EXONE CO/THE,15116,0.0015,,
ARKK,2020-11-11,Sell,ZS,98980G102,ZSCALER INC,58902,0.0731,,
ARKW,2020-11-11,Buy,ROKU,77543R102,ROKU INC,22376,0.1595,,
ARKW,2020-11-11,Sell,SPLK,848637104,SPLUNK INC,57540,0.3511,,
,,,,,,,,,
