INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-11-12,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,31366,0.049,,
ARKG,2020-11-12,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,6304,0.0053,,
ARKG,2020-11-12,Sell,CGEN,M25722105,COMPUGEN LTD,29340,0.0119,,
ARKG,2020-11-12,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,18158,0.0049,,
ARKK,2020-11-12,Buy,NTDOY,654445303,NINTENDO CO LTD,146000,0.086,,
ARKK,2020-11-12,Sell,XONE,302104104,EXONE CO/THE,1622,0.0002,,
ARKK,2020-11-12,Sell,SSYS,M85548101,STRATASYS LTD,99176,0.0135,,
ARKK,2020-11-12,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,227753,0.0964,,
ARKK,2020-11-12,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,66955,0.0212,,
ARKK,2020-11-12,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,438761,0.058,,
ARKK,2020-11-12,Sell,ZS,98980G102,ZSCALER INC,68840,0.0871,,
,,,,,,,,,
