INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-11-13,Buy,BLI,084310101,BERKELEY LIGHTS INC,40658,0.1096,,
ARKG,2020-11-13,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,35478,0.0542,,
ARKG,2020-11-13,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,6580,0.0055,,
ARKG,2020-11-13,Sell,CGEN,M25722105,COMPUGEN LTD,16084,0.0065,,
ARKG,2020-11-13,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,4970,0.0013,,
ARKK,2020-11-13,Buy,U,91332U101,UNITY SOFTWARE INC,121691,0.1212,,
ARKK,2020-11-13,Buy,TDOC,87918A105,TELADOC HEALTH INC,152196,0.2496,,
ARKK,2020-11-13,Buy,NTDOY,654445303,NINTENDO CO LTD,60138,0.0357,,
ARKK,2020-11-13,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,76100,0.0318,,
ARKK,2020-11-13,Sell,NTLA,45826J105,INTELLIA THERAPEUTICS INC,10976,0.0033,,
ARKK,2020-11-13,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,16582,0.0053,,
ARKK,2020-11-13,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,225806,0.0293,,
ARKK,2020-11-13,Sell,XONE,302104104,EXONE CO/THE,3785,0.0004,,
ARKW,2020-11-13,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,1025700,0.486,,
ARKW,2020-11-13,Buy,TDOC,87918A105,TELADOC HEALTH INC,39450,0.2184,,
ARKW,2020-11-13,Sell,AMZN,023135106,AMAZON.COM INC,1625,0.1526,,
ARKW,2020-11-13,Sell,BABA,01609W102,ALIBABA GROUP HOLDING LTD,44388,0.3498,,
,,,,,,,,,
