INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-11-16,Buy,JD,47215P106,JD.COM INC,25040,0.1984,,
ARKF,2020-11-16,Sell,HDB,40415F101,HDFC BANK LTD,30697,0.1963,,
ARKG,2020-11-16,Buy,BLI,084310101,BERKELEY LIGHTS INC,7035,0.019,,
ARKG,2020-11-16,Buy,TDOC,87918A105,TELADOC HEALTH INC,83995,0.4505,,
ARKG,2020-11-16,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,11000,0.0167,,
ARKG,2020-11-16,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,4329,0.0036,,
ARKG,2020-11-16,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,100,0,,
ARKG,2020-11-16,Sell,ILMN,452327109,ILLUMINA INC,27552,0.2452,,
ARKG,2020-11-16,Sell,CGEN,M25722105,COMPUGEN LTD,175694,0.071,,
ARKK,2020-11-16,Buy,U,91332U101,UNITY SOFTWARE INC,249371,0.246,,
ARKK,2020-11-16,Buy,TDOC,87918A105,TELADOC HEALTH INC,128386,0.205,,
ARKK,2020-11-16,Sell,ZS,98980G102,ZSCALER INC,162835,0.1955,,
ARKK,2020-11-16,Sell,Z,98954M200,ZILLOW GROUP INC,73138,0.0703,,
ARKK,2020-11-16,Sell,XONE,302104104,EXONE CO/THE,4555,0.0004,,
ARKK,2020-11-16,Sell,SQ,852234103,SQUARE INC,62423,0.0998,,
ARKK,2020-11-16,Sell,NTLA,45826J105,INTELLIA THERAPEUTICS INC,157247,0.0477,,
ARKK,2020-11-16,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,155192,0.0645,,
ARKK,2020-11-16,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,10492,0.0033,,
ARKK,2020-11-16,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,282261,0.0363,,
ARKQ,2020-11-16,Buy,TSLA,88160R101,TESLA INC,10926,0.4944,,
ARKQ,2020-11-16,Buy,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,153000,0.3557,,
ARKQ,2020-11-16,Sell,NIU,65481N100,NIU TECHNOLOGIES,58084,0.2137,,
ARKQ,2020-11-16,Sell,BYDDY,05606L100,BYD CO LTD,114811,0.5923,,
ARKW,2020-11-16,Buy,U,91332U101,UNITY SOFTWARE INC,159400,0.5023,,
ARKW,2020-11-16,Buy,TDOC,87918A105,TELADOC HEALTH INC,43073,0.2261,,
ARKW,2020-11-16,Buy,SHOP,82509L107,SHOPIFY INC,18909,0.502,,
ARKW,2020-11-16,Buy,NTDOY,654445303,NINTENDO CO LTD,79500,0.1492,,
ARKW,2020-11-16,Buy,FSLY,31188V100,FASTLY INC,89300,0.1998,,
ARKW,2020-11-16,Buy,DOCU,256163106,DOCUSIGN INC,33779,0.2057,,
ARKW,2020-11-16,Sell,HUBS,443573100,HUBSPOT INC,14874,0.1527,,
ARKW,2020-11-16,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,132777,0.2937,,
ARKW,2020-11-16,Sell,TTD,88339J105,TRADE DESK INC/THE,6653,0.1439,,
ARKW,2020-11-16,Sell,AMZN,023135106,AMAZON.COM INC,11168,1.0211,,
ARKW,2020-11-16,Sell,VCYT,92337F107,VERACYTE INC,21534,0.0297,,
,,,,,,,,,
