INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-11-17,Buy,DOCU,256163106,DOCUSIGN INC,5026,0.0989,,
ARKF,2020-11-17,Buy,SI,82837P408,SILVERGATE CAPITAL CORP,43348,0.1182,,
ARKF,2020-11-17,Buy,TDOC,87918A105,TELADOC HEALTH INC,29767,0.4994,,
ARKF,2020-11-17,Sell,4689JP,J9894K105,Z HOLDINGS CORP,1142607,0.5808,,
ARKF,2020-11-17,Sell,8473JP,J6991H100,SBI HOLDINGS INC/JAPAN,83812,0.1941,,
ARKG,2020-11-17,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,7232,0.0059,,
ARKG,2020-11-17,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,37181,0.0546,,
ARKG,2020-11-17,Buy,BLI,084310101,BERKELEY LIGHTS INC,20119,0.0502,,
ARKG,2020-11-17,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,13678,0.0035,,
ARKK,2020-11-17,Buy,U,91332U101,UNITY SOFTWARE INC,362,0.0004,,
ARKK,2020-11-17,Sell,ZS,98980G102,ZSCALER INC,83876,0.1018,,
ARKK,2020-11-17,Sell,XONE,302104104,EXONE CO/THE,15410,0.0014,,
ARKK,2020-11-17,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,54000,0.0175,,
ARKK,2020-11-17,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,4206,0.0005,,
ARKW,2020-11-17,Buy,API,00851L103,AGORA INC,169116,0.18,,
ARKW,2020-11-17,Buy,NTDOY,654445303,NINTENDO CO LTD,126970,0.2349,,
ARKW,2020-11-17,Sell,BABA,01609W102,ALIBABA GROUP HOLDING LTD,53953,0.4007,,
ARKW,2020-11-17,Sell,VCYT,92337F107,VERACYTE INC,22981,0.0316,,
,,,,,,,,,
