INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-11-18,Buy,SHOP,82509L107,SHOPIFY INC,2922,0.2455,,
ARKF,2020-11-18,Buy,SI,82837P408,SILVERGATE CAPITAL CORP,33551,0.0951,,
ARKF,2020-11-18,Sell,AMZN,023135106,AMAZON.COM INC,852,0.244,,
ARKG,2020-11-18,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,4560,0.0037,,
ARKK,2020-11-18,Buy,NTDOY,654445303,NINTENDO CO LTD,100500,0.0572,,
ARKK,2020-11-18,Sell,ZS,98980G102,ZSCALER INC,57974,0.0687,,
ARKK,2020-11-18,Sell,XONE,302104104,EXONE CO/THE,29600,0.0028,,
ARKW,2020-11-18,Buy,API,00851L103,AGORA INC,31100,0.0332,,
ARKW,2020-11-18,Buy,SHOP,82509L107,SHOPIFY INC,5431,0.1437,,
ARKW,2020-11-18,Sell,VCYT,92337F107,VERACYTE INC,15890,0.0226,,
,,,,,,,,,
