INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-11-19,Sell,MELI,58733R102,MERCADOLIBRE INC,876,0.1072,,
ARKF,2020-11-19,Sell,PINS,72352L106,PINTEREST INC,42629,0.2509,,
ARKF,2020-11-19,Sell,SQ,852234103,SQUARE INC,17107,0.2951,,
ARKF,2020-11-19,Sell,Z,98954M200,ZILLOW GROUP INC,10077,0.0976,,
ARKG,2020-11-19,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,5304,0.0042,,
ARKG,2020-11-19,Sell,ILMN,452327109,ILLUMINA INC,118419,1.0074,,
ARKK,2020-11-19,Buy,EXAS,30063P105,EXACT SCIENCES CORP,159410,0.1551,,
ARKK,2020-11-19,Buy,NTDOY,654445303,NINTENDO CO LTD,45000,0.0258,,
ARKK,2020-11-19,Buy,SHOP,82509L107,SHOPIFY INC,60306,0.5005,,
ARKK,2020-11-19,Sell,ZS,98980G102,ZSCALER INC,468,0.0006,,
ARKK,2020-11-19,Sell,XONE,302104104,EXONE CO/THE,44158,0.004,,
ARKK,2020-11-19,Sell,TSLA,88160R101,TESLA INC,160969,0.6923,,
ARKK,2020-11-19,Sell,SQ,852234103,SQUARE INC,121822,0.2009,,
ARKK,2020-11-19,Sell,SPLK,848637104,SPLUNK INC,174863,0.2989,,
ARKW,2020-11-19,Sell,PINS,72352L106,PINTEREST INC,80954,0.1476,,
ARKW,2020-11-19,Sell,ROKU,77543R102,ROKU INC,35038,0.2481,,
ARKW,2020-11-19,Sell,SNAP,83304A106,SNAP INC,131737,0.1531,,
ARKW,2020-11-19,Sell,SQ,852234103,SQUARE INC,56177,0.2973,,
ARKW,2020-11-19,Sell,TSLA,88160R101,TESLA INC,22038,0.305,,
ARKW,2020-11-19,Sell,VCYT,92337F107,VERACYTE INC,41095,0.0563,,
,,,,,,,,,
