INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-11-23,Buy,LGVW,543195101,LONGVIEW ACQUISITION CORP,459572,0.1742,,
ARKG,2020-11-23,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,17888,0.2555,,
ARKG,2020-11-23,Sell,CDNA,14167L103,CAREDX INC,25952,0.0424,,
ARKG,2020-11-23,Sell,ILMN,452327109,ILLUMINA INC,31965,0.2636,,
ARKG,2020-11-23,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,25320,0.0056,,
ARKK,2020-11-23,Buy,NTDOY,654445303,NINTENDO CO LTD,97565,0.0534,,
ARKK,2020-11-23,Sell,XONE,302104104,EXONE CO/THE,164700,0.015,,
ARKK,2020-11-23,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,3143,0.0004,,
ARKQ,2020-11-23,Buy,FLIR,302445101,FLIR SYSTEMS INC,154127,0.5931,,
ARKQ,2020-11-23,Sell,BYDDY,05606L100,BYD CO LTD,136394,0.7016,,
ARKW,2020-11-23,Sell,VCYT,92337F107,VERACYTE INC,49144,0.0671,,
,,,,,,,,,
