INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-11-24,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,18834,0.2744,,
ARKG,2020-11-24,Buy,TDOC,87918A105,TELADOC HEALTH INC,33376,0.1708,,
ARKG,2020-11-24,Sell,CDNA,14167L103,CAREDX INC,964,0.0016,,
ARKG,2020-11-24,Sell,VCYT,92337F107,VERACYTE INC,23468,0.0338,,
ARKG,2020-11-24,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,17901,0.004,,
ARKG,2020-11-24,Sell,ILMN,452327109,ILLUMINA INC,32368,0.2741,,
ARKK,2020-11-24,Buy,NTDOY,654445303,NINTENDO CO LTD,35036,0.019,,
ARKK,2020-11-24,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,31947,0.0037,,
ARKK,2020-11-24,Sell,XONE,302104104,EXONE CO/THE,40231,0.0037,,
ARKQ,2020-11-24,Buy,FLIR,302445101,FLIR SYSTEMS INC,28790,0.1122,,
,,,,,,,,,
