INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-11-30,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,9900,0.0111,,
ARKG,2020-11-30,Buy,EXAS,30063P105,EXACT SCIENCES CORP,9028,0.027,,
ARKG,2020-11-30,Buy,GOOGL,02079K305,ALPHABET INC,11300,0.4943,,
ARKG,2020-11-30,Buy,RHHBY,771195104,ROCHE HOLDING AG,139474,0.1427,,
ARKG,2020-11-30,Sell,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,238908,0.508,,
ARKG,2020-11-30,Sell,CDNA,14167L103,CAREDX INC,31003,0.044,,
ARKG,2020-11-30,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,26518,0.0054,,
ARKK,2020-11-30,Buy,SHOP,82509L107,SHOPIFY INC,62462,0.5131,,
ARKK,2020-11-30,Buy,BEKE,482497104,KE HOLDINGS INC,341471,0.1694,,
ARKK,2020-11-30,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,23230,0.0024,,
ARKK,2020-11-30,Sell,TSLA,88160R101,TESLA INC,113264,0.5074,,
ARKQ,2020-11-30,Buy,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,83818,0.7557,,
ARKQ,2020-11-30,Buy,TRMB,896239100,TRIMBLE INC,56054,0.3104,,
ARKQ,2020-11-30,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,31319,0.074,,
ARKQ,2020-11-30,Buy,NXPI,N6596X109,NXP SEMICONDUCTORS NV,68294,1.0051,,
ARKQ,2020-11-30,Buy,JD,47215P106,JD.COM INC,31224,0.2484,,
ARKQ,2020-11-30,Buy,FLIR,302445101,FLIR SYSTEMS INC,10211,0.0375,,
ARKQ,2020-11-30,Sell,SPLK,848637104,SPLUNK INC,16071,0.3015,,
ARKQ,2020-11-30,Sell,TSLA,88160R101,TESLA INC,14900,0.8023,,
ARKQ,2020-11-30,Sell,XLNX,983919101,XILINX INC,76325,1.0164,,
ARKW,2020-11-30,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,95536,0.4982,,
ARKW,2020-11-30,Buy,NFLX,64110L106,NETFLIX INC,25128,0.298,,
ARKW,2020-11-30,Buy,JD,47215P106,JD.COM INC,142464,0.296,,
ARKW,2020-11-30,Buy,FB,30303M102,FACEBOOK INC,74133,0.4963,,
ARKW,2020-11-30,Buy,BEKE,482497104,KE HOLDINGS INC,102800,0.1608,,
ARKW,2020-11-30,Buy,API,00851L103,AGORA INC,30760,0.0283,,
ARKW,2020-11-30,Sell,GBTC,389637109,GRAYSCALE BITCOIN TRUST BTC,574926,0.321,,
ARKW,2020-11-30,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,1424300,1.4804,,
,,,,,,,,,
