INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-12-01,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,21874,0.0261,,
ARKG,2020-12-01,Buy,EXAS,30063P105,EXACT SCIENCES CORP,75145,0.2246,,
ARKG,2020-12-01,Buy,RHHBY,771195104,ROCHE HOLDING AG,293433,0.2937,,
ARKG,2020-12-01,Sell,CDNA,14167L103,CAREDX INC,52818,0.075,,
ARKG,2020-12-01,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,42400,0.0084,,
ARKK,2020-12-01,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,79447,0.2491,,
ARKK,2020-12-01,Buy,DOCU,256163106,DOCUSIGN INC,123242,0.1977,,
ARKK,2020-12-01,Buy,BEKE,482497104,KE HOLDINGS INC,164500,0.0807,,
ARKK,2020-12-01,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,330715,0.1334,,
ARKK,2020-12-01,Sell,XONE,302104104,EXONE CO/THE,3531,0.0003,,
ARKQ,2020-12-01,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,51390,0.1196,,
ARKQ,2020-12-01,Buy,TRMB,896239100,TRIMBLE INC,34810,0.1899,,
ARKQ,2020-12-01,Sell,TSLA,88160R101,TESLA INC,3234,0.1696,,
ARKW,2020-12-01,Buy,SHOP,82509L107,SHOPIFY INC,19998,0.5213,,
ARKW,2020-12-01,Buy,DOCU,256163106,DOCUSIGN INC,38193,0.1967,,
ARKW,2020-12-01,Buy,API,00851L103,AGORA INC,144419,0.1304,,
ARKW,2020-12-01,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,25322,0.2547,,
ARKW,2020-12-01,Sell,TSLA,88160R101,TESLA INC,35244,0.4978,,
ARKW,2020-12-01,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,231400,0.2449,,
,,,,,,,,,
