INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-12-02,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,11973,0.014,,
ARKG,2020-12-02,Buy,LGVW,543195101,LONGVIEW ACQUISITION CORP,259096,0.0837,,
ARKG,2020-12-02,Buy,RHHBY,771195104,ROCHE HOLDING AG,65983,0.0651,,
ARKG,2020-12-02,Sell,CDNA,14167L103,CAREDX INC,17624,0.0243,,
ARKK,2020-12-02,Buy,SHOP,82509L107,SHOPIFY INC,5538,0.0449,,
ARKK,2020-12-02,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,177000,0.0996,,
ARKK,2020-12-02,Buy,TDOC,87918A105,TELADOC HEALTH INC,77741,0.1141,,
ARKK,2020-12-02,Buy,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,532703,0.4021,,
ARKK,2020-12-02,Buy,TWLO,90138F102,TWILIO INC,106079,0.2517,,
ARKK,2020-12-02,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,342546,0.5488,,
ARKK,2020-12-02,Buy,BEKE,482497104,KE HOLDINGS INC,108913,0.0514,,
ARKK,2020-12-02,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,122048,0.0979,,
ARKK,2020-12-02,Buy,EXAS,30063P105,EXACT SCIENCES CORP,82813,0.078,,
ARKK,2020-12-02,Buy,DOCU,256163106,DOCUSIGN INC,62069,0.1011,,
ARKK,2020-12-02,Sell,XONE,302104104,EXONE CO/THE,32544,0.0028,,
ARKK,2020-12-02,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,4179240,1.3464,,
ARKK,2020-12-02,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,136077,0.0574,,
ARKK,2020-12-02,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,463929,0.0434,,
ARKQ,2020-12-02,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,22648,0.0527,,
ARKQ,2020-12-02,Buy,WKHS,98138J206,WORKHORSE GROUP INC,153000,0.2657,,
ARKW,2020-12-02,Buy,API,00851L103,AGORA INC,94084,0.0834,,
,,,,,,,,,
