INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-12-03,Buy,SPLK,848637104,SPLUNK INC,36106,0.4425,,
ARKF,2020-12-03,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,132900,0.4351,,
ARKG,2020-12-03,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,4455,0.0051,,
ARKK,2020-12-03,Buy,TWLO,90138F102,TWILIO INC,101657,0.2451,,
ARKK,2020-12-03,Buy,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,125527,0.0928,,
ARKK,2020-12-03,Buy,TDOC,87918A105,TELADOC HEALTH INC,91819,0.135,,
ARKK,2020-12-03,Buy,SPLK,848637104,SPLUNK INC,213209,0.2502,,
ARKK,2020-12-03,Buy,SHOP,82509L107,SHOPIFY INC,25838,0.2062,,
ARKK,2020-12-03,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,508963,0.3993,,
ARKK,2020-12-03,Buy,EXAS,30063P105,EXACT SCIENCES CORP,126364,0.1185,,
ARKK,2020-12-03,Buy,DOCU,256163106,DOCUSIGN INC,99236,0.1684,,
ARKK,2020-12-03,Buy,BEKE,482497104,KE HOLDINGS INC,285315,0.133,,
ARKK,2020-12-03,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,51900,0.0215,,
ARKK,2020-12-03,Sell,XONE,302104104,EXONE CO/THE,19513,0.0017,,
ARKK,2020-12-03,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,5882985,1.8499,,
ARKK,2020-12-03,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,17339,0.0016,,
ARKQ,2020-12-03,Buy,SPLK,848637104,SPLUNK INC,31654,0.4408,,
ARKQ,2020-12-03,Sell,TSLA,88160R101,TESLA INC,8588,0.4425,,
ARKW,2020-12-03,Buy,SPLK,848637104,SPLUNK INC,66979,0.2525,,
ARKW,2020-12-03,Sell,TSLA,88160R101,TESLA INC,17652,0.2469,,
,,,,,,,,,
