INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-12-04,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,1697,0.0019,,
ARKG,2020-12-04,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,38400,0.0066,,
ARKK,2020-12-04,Buy,BEKE,482497104,KE HOLDINGS INC,329551,0.1446,,
ARKK,2020-12-04,Buy,EXAS,30063P105,EXACT SCIENCES CORP,75800,0.0718,,
ARKK,2020-12-04,Buy,SE,81141R100,SEA LTD,366564,0.5067,,
ARKK,2020-12-04,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,154108,0.013,,
ARKK,2020-12-04,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,31400,0.013,,
ARKK,2020-12-04,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,1415600,0.4297,,
ARKK,2020-12-04,Sell,XONE,302104104,EXONE CO/THE,20954,0.0018,,
,,,,,,,,,
