INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-12-07,Buy,RHHBY,771195104,ROCHE HOLDING AG,52404,0.0439,,
ARKG,2020-12-07,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,79500,0.3527,,
ARKG,2020-12-07,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,18899,0.0205,,
ARKG,2020-12-07,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,131927,0.0485,,
ARKG,2020-12-07,Buy,NVS,66987V109,NOVARTIS AG,62928,0.1129,,
ARKG,2020-12-07,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,52124,0.5067,,
ARKG,2020-12-07,Sell,VCYT,92337F107,VERACYTE INC,41500,0.0508,,
ARKG,2020-12-07,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,135992,0.0249,,
ARKG,2020-12-07,Sell,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,206564,0.4846,,
ARKG,2020-12-07,Sell,NTLA,45826J105,INTELLIA THERAPEUTICS INC,60209,0.0559,,
ARKG,2020-12-07,Sell,FATE,31189P102,FATE THERAPEUTICS INC,174345,0.2889,,
ARKG,2020-12-07,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,161342,0.4756,,
ARKK,2020-12-07,Buy,EXAS,30063P105,EXACT SCIENCES CORP,211357,0.1958,,
ARKK,2020-12-07,Sell,XONE,302104104,EXONE CO/THE,11829,0.001,,
ARKK,2020-12-07,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,70461,0.0291,,
ARKK,2020-12-07,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,163260,0.0134,,
ARKQ,2020-12-07,Buy,DE,244199105,DEERE & CO,12000,0.2502,,
ARKQ,2020-12-07,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,8290,0.0196,,
ARKQ,2020-12-07,Sell,MTLS,57667T100,MATERIALISE NV,14592,0.0622,,
ARKW,2020-12-07,Buy,CRM,79466L302,SALESFORCE.COM INC,101500,0.5156,,
ARKW,2020-12-07,Buy,DOCU,256163106,DOCUSIGN INC,33143,0.1739,,
ARKW,2020-12-07,Buy,PTON,70614W100,PELOTON INTERACTIVE INC,135900,0.3521,,
ARKW,2020-12-07,Buy,TDOC,87918A105,TELADOC HEALTH INC,38399,0.1686,,
ARKW,2020-12-07,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,1065565,1.0204,,
,,,,,,,,,
