INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-12-08,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,51617,0.0548,,
ARKG,2020-12-08,Buy,NVS,66987V109,NOVARTIS AG,166885,0.2897,,
ARKG,2020-12-08,Buy,RHHBY,771195104,ROCHE HOLDING AG,358777,0.2925,,
ARKG,2020-12-08,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,564185,0.2025,,
ARKG,2020-12-08,Sell,NTLA,45826J105,INTELLIA THERAPEUTICS INC,108700,0.0987,,
ARKG,2020-12-08,Sell,VCYT,92337F107,VERACYTE INC,24112,0.0283,,
ARKK,2020-12-08,Buy,BEKE,482497104,KE HOLDINGS INC,45054,0.0191,,
ARKK,2020-12-08,Sell,XONE,302104104,EXONE CO/THE,28986,0.0023,,
ARKK,2020-12-08,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,49474,0.0039,,
ARKQ,2020-12-08,Buy,DE,244199105,DEERE & CO,12351,0.2502,,
ARKQ,2020-12-08,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,42000,0.0997,,
ARKQ,2020-12-08,Sell,MTLS,57667T100,MATERIALISE NV,25283,0.1046,,
ARKW,2020-12-08,Buy,CRM,79466L302,SALESFORCE.COM INC,99908,0.4913,,
ARKW,2020-12-08,Buy,PTON,70614W100,PELOTON INTERACTIVE INC,263300,0.6587,,
ARKW,2020-12-08,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,1399654,1.2997,,
,,,,,,,,,
