INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-12-09,Buy,DOCU,256163106,DOCUSIGN INC,18724,0.3055,,
ARKF,2020-12-09,Buy,TDOC,87918A105,TELADOC HEALTH INC,43089,0.6062,,
ARKF,2020-12-09,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,460600,1.425,,
ARKG,2020-12-09,Buy,TDOC,87918A105,TELADOC HEALTH INC,21285,0.078,,
ARKG,2020-12-09,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,662006,0.2376,,
ARKG,2020-12-09,Buy,RHHBY,771195104,ROCHE HOLDING AG,130061,0.1076,,
ARKG,2020-12-09,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,11261,0.0123,,
ARKG,2020-12-09,Sell,NTLA,45826J105,INTELLIA THERAPEUTICS INC,52799,0.0506,,
ARKG,2020-12-09,Sell,VCYT,92337F107,VERACYTE INC,16267,0.0189,,
ARKK,2020-12-09,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,96049,0.2569,,
ARKK,2020-12-09,Buy,TDOC,87918A105,TELADOC HEALTH INC,57465,0.0734,,
ARKK,2020-12-09,Buy,BEKE,482497104,KE HOLDINGS INC,174476,0.0783,,
ARKK,2020-12-09,Sell,XONE,302104104,EXONE CO/THE,73306,0.006,,
ARKQ,2020-12-09,Buy,NIU,65481N100,NIU TECHNOLOGIES,89300,0.2074,,
ARKQ,2020-12-09,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,10214,0.0261,,
ARKQ,2020-12-09,Sell,MTLS,57667T100,MATERIALISE NV,28048,0.1164,,
ARKQ,2020-12-09,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,17700,0.0467,,
ARKW,2020-12-09,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,29543,0.2552,,
,,,,,,,,,
