INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-12-10,Buy,4477JP,J0433G101,BASE INC,87600,0.49,,
ARKG,2020-12-10,Buy,TMO,883556102,THERMO FISHER SCIENTIFIC INC,59416,0.4901,,
ARKG,2020-12-10,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,287860,0.0951,,
ARKG,2020-12-10,Buy,SRPT,803607100,SAREPTA THERAPEUTICS INC,7321,0.0205,,
ARKG,2020-12-10,Buy,RHHBY,771195104,ROCHE HOLDING AG,104143,0.079,,
ARKG,2020-12-10,Buy,GOOGL,02079K305,ALPHABET INC,19000,0.5892,,
ARKG,2020-12-10,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,86697,0.0901,,
ARKG,2020-12-10,Sell,VCYT,92337F107,VERACYTE INC,33072,0.0326,,
ARKK,2020-12-10,Buy,BEKE,482497104,KE HOLDINGS INC,170600,0.0721,,
ARKK,2020-12-10,Buy,BIDU,056752108,BAIDU INC,173825,0.1749,,
ARKK,2020-12-10,Sell,XONE,302104104,EXONE CO/THE,84508,0.0063,,
,,,,,,,,,
