INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-12-11,Buy,CDXS,192005106,CODEXIS INC,155008,0.0486,,
ARKG,2020-12-11,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,30100,0.0319,,
ARKG,2020-12-11,Buy,RHHBY,771195104,ROCHE HOLDING AG,205844,0.1581,,
ARKG,2020-12-11,Buy,SRPT,803607100,SAREPTA THERAPEUTICS INC,169932,0.4934,,
ARKG,2020-12-11,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,46000,0.0154,,
ARKG,2020-12-11,Sell,VCYT,92337F107,VERACYTE INC,6589,0.0067,,
ARKK,2020-12-11,Buy,BIDU,056752108,BAIDU INC,328144,0.3354,,
ARKK,2020-12-11,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,395672,0.1057,,
ARKK,2020-12-11,Sell,XONE,302104104,EXONE CO/THE,2578,0.0002,,
,,,,,,,,,
