INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-12-15,Buy,CDXS,81750R102,CODEXIS INC,49362,0.0161,,
ARKG,2020-12-15,Buy,VRTX,46269C102,VERTEX PHARMACEUTICALS INC,64000,0.2477,,
ARKG,2020-12-15,Buy,TMO,302104104,THERMO FISHER SCIENTIFIC INC,30604,0.2463,,
ARKG,2020-12-15,Buy,TDOC,57060D108,TELADOC HEALTH INC,90962,0.3025,,
ARKG,2020-12-15,Buy,TAK,15117P102,TAKEDA PHARMACEUTICAL CO LTD,176367,0.0562,,
ARKG,2020-12-15,Buy,RHHBY,63009R109,ROCHE HOLDING AG,122519,0.0895,,
ARKG,2020-12-15,Buy,NVS,00650F109,NOVARTIS AG,158309,0.2423,,
ARKG,2020-12-15,Sell,VCYT,92532F100,VERACYTE INC,7100,0.0068,,
ARKK,2020-12-15,Buy,TDOC,71944F106,TELADOC HEALTH INC,27731,0.0334,,
ARKK,2020-12-15,Buy,SHOP,63009R109,SHOPIFY INC,37405,0.2466,,
ARKK,2020-12-15,Buy,PYPL,46185L103,PAYPAL HOLDINGS INC,348461,0.4723,,
ARKK,2020-12-15,Buy,DOCU,53227R106,DOCUSIGN INC,200110,0.2855,,
ARKK,2020-12-15,Buy,BIDU,07373V105,BAIDU INC,472108,0.5192,,
ARKK,2020-12-15,Buy,ZM,88032Q109,ZOOM VIDEO COMMUNICATIONS INC,42239,0.104,,
ARKK,2020-12-15,Sell,WORK,654445303,SLACK TECHNOLOGIES INC,1761493,0.4557,,
ARKK,2020-12-15,Sell,XONE,874060205,EXONE CO/THE,38346,0.0028,,
,,,,,,,,,
