INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKG,2020-12-17,Buy,RHHBY,771195104,ROCHE HOLDING AG,276156,0.1988,,
ARKG,2020-12-17,Buy,SDGR,80810D103,SCHRODINGER INC/UNITED STATES,74834,0.0958,,
ARKG,2020-12-17,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,207887,0.0642,,
ARKG,2020-12-17,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,30549,0.2486,,
ARKG,2020-12-17,Buy,NVS,66987V109,NOVARTIS AG,196970,0.2987,,
ARKG,2020-12-17,Buy,IOVA,462260100,IOVANCE BIOTHERAPEUTICS INC,140018,0.1057,,
ARKG,2020-12-17,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,152185,0.1265,,
ARKG,2020-12-17,Buy,INCY,45337C102,INCYTE CORP,52600,0.0758,,
ARKG,2020-12-17,Buy,TDOC,87918A105,TELADOC HEALTH INC,26999,0.0856,,
ARKG,2020-12-17,Buy,EXAS,30063P105,EXACT SCIENCES CORP,28099,0.0605,,
ARKG,2020-12-17,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,52000,0.2021,,
ARKG,2020-12-17,Buy,CDXS,192005106,CODEXIS INC,14422,0.0046,,
ARKG,2020-12-17,Buy,BLI,084310101,BERKELEY LIGHTS INC,28546,0.0422,,
ARKG,2020-12-17,Buy,SURF,86877M209,SURFACE ONCOLOGY INC,1009200,0.1401,,
ARKG,2020-12-17,Sell,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,75216,0.1283,,
ARKG,2020-12-17,Sell,FATE,31189P102,FATE THERAPEUTICS INC,128652,0.1934,,
ARKG,2020-12-17,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,65448,0.1595,,
ARKK,2020-12-17,Buy,IOVA,462260100,IOVANCE BIOTHERAPEUTICS INC,348778,0.0957,,
ARKK,2020-12-17,Buy,U,91332U101,UNITY SOFTWARE INC,80484,0.0728,,
ARKK,2020-12-17,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,7472,0.0019,,
ARKK,2020-12-17,Sell,XONE,302104104,EXONE CO/THE,53114,0.0038,,
ARKQ,2020-12-17,Buy,BIDU,056752108,BAIDU INC,18354,0.2482,,
ARKQ,2020-12-17,Buy,KMTUY,500458401,KOMATSU LTD,8100,0.0157,,
,,,,,,,,,
