INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-12-18,Buy,KSPILI,48581R205,KASPI.KZ JSC,4652,0.0152,,
ARKG,2020-12-18,Buy,TDOC,87918A105,TELADOC HEALTH INC,36195,0.115,,
ARKG,2020-12-18,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,225600,0.0698,,
ARKG,2020-12-18,Buy,SURF,86877M209,SURFACE ONCOLOGY INC,14016,0.0021,,
ARKG,2020-12-18,Buy,SDGR,80810D103,SCHRODINGER INC/UNITED STATES,84900,0.111,,
ARKG,2020-12-18,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,45550,0.0391,,
ARKG,2020-12-18,Buy,INCY,45337C102,INCYTE CORP,59684,0.0866,,
ARKG,2020-12-18,Buy,CDXS,192005106,CODEXIS INC,271398,0.0884,,
ARKG,2020-12-18,Buy,BLI,084310101,BERKELEY LIGHTS INC,16779,0.0248,,
ARKG,2020-12-18,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,47117,0.1148,,
ARKG,2020-12-18,Sell,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,17620,0.0282,,
ARKK,2020-12-18,Buy,U,91332U101,UNITY SOFTWARE INC,75382,0.0675,,
ARKK,2020-12-18,Sell,XONE,302104104,EXONE CO/THE,69005,0.005,,
ARKQ,2020-12-18,Buy,KMTUY,500458401,KOMATSU LTD,27173,0.0519,,
,,,,,,,,,
