INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-12-21,Buy,AMZN,023135106,AMAZON.COM INC,2660,0.4996,,
ARKF,2020-12-21,Buy,BABA,01609W102,ALIBABA GROUP HOLDING LTD,16654,0.2543,,
ARKF,2020-12-21,Buy,JD,47215P106,JD.COM INC,31366,0.1489,,
ARKF,2020-12-21,Buy,KSPILI,48581R205,KASPI.KZ JSC,6936,0.0233,,
ARKF,2020-12-21,Buy,NVDA,67066G104,NVIDIA CORP,4793,0.1493,,
ARKF,2020-12-21,Sell,TRU,89400J107,TRANSUNION,25122,0.1461,,
ARKF,2020-12-21,Sell,SQ,852234103,SQUARE INC,39437,0.54,,
ARKF,2020-12-21,Sell,IBKR,45841N107,INTERACTIVE BROKERS GROUP INC,27219,0.0937,,
ARKG,2020-12-21,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,20905,0.157,,
ARKG,2020-12-21,Buy,LGVW,543195101,LONGVIEW ACQUISITION CORP,263084,0.0593,,
ARKG,2020-12-21,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,49817,0.0407,,
ARKG,2020-12-21,Buy,GOOGL,02079K305,ALPHABET INC,28900,0.7579,,
ARKG,2020-12-21,Buy,EXAS,30063P105,EXACT SCIENCES CORP,1194,0.0024,,
ARKG,2020-12-21,Buy,CDXS,192005106,CODEXIS INC,14675,0.0044,,
ARKG,2020-12-21,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,28200,0.1001,,
ARKG,2020-12-21,Buy,BLI,084310101,BERKELEY LIGHTS INC,100,0.0001,,
ARKG,2020-12-21,Buy,RHHBY,771195104,ROCHE HOLDING AG,175700,0.1148,,
ARKG,2020-12-21,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,23221,0.0532,,
ARKG,2020-12-21,Sell,VCYT,92337F107,VERACYTE INC,10621,0.0082,,
ARKG,2020-12-21,Sell,EDIT,28106W103,EDITAS MEDICINE INC,37700,0.0479,,
ARKG,2020-12-21,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,32800,0.0834,,
ARKG,2020-12-21,Sell,CDNA,14167L103,CAREDX INC,18068,0.0197,,
ARKK,2020-12-21,Buy,U,91332U101,UNITY SOFTWARE INC,13023,0.0116,,
ARKK,2020-12-21,Sell,XONE,302104104,EXONE CO/THE,35442,0.0024,,
ARKQ,2020-12-21,Buy,KMTUY,500458401,KOMATSU LTD,66723,0.1259,,
ARKQ,2020-12-21,Buy,FLIR,302445101,FLIR SYSTEMS INC,56925,0.1656,,
ARKQ,2020-12-21,Buy,BIDU,056752108,BAIDU INC,22008,0.2995,,
ARKQ,2020-12-21,Sell,MTLS,57667T100,MATERIALISE NV,15958,0.055,,
ARKQ,2020-12-21,Sell,XLNX,983919101,XILINX INC,29798,0.3041,,
ARKW,2020-12-21,Buy,SHOP,82509L107,SHOPIFY INC,22078,0.5047,,
ARKW,2020-12-21,Buy,NVDA,67066G104,NVIDIA CORP,25034,0.254,,
ARKW,2020-12-21,Buy,BABA,01609W102,ALIBABA GROUP HOLDING LTD,50108,0.2471,,
ARKW,2020-12-21,Buy,ADBE,00724F101,ADOBE INC,25953,0.247,,
ARKW,2020-12-21,Buy,AAPL,037833100,APPLE INC,415786,1.0036,,
ARKW,2020-12-21,Sell,PD,69553P100,PAGERDUTY INC,75592,0.0647,,
ARKW,2020-12-21,Sell,ROKU,77543R102,ROKU INC,147192,0.9932,,
ARKW,2020-12-21,Sell,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,40167,0.2495,,
ARKW,2020-12-21,Sell,SQ,852234103,SQUARE INC,112224,0.4982,,
ARKW,2020-12-21,Sell,TWLO,90138F102,TWILIO INC,35524,0.2488,,
ARKW,2020-12-21,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,30365,0.0246,,
,,,,,,,,,
