INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-12-22,Buy,WDAY,98138H101,WORKDAY INC,21600,0.3145,,
ARKF,2020-12-22,Buy,BEKE,482497104,KE HOLDINGS INC,28688,0.1098,,
ARKF,2020-12-22,Buy,KSPILI,48581R205,KASPI.KZ JSC,2089,0.0068,,
ARKF,2020-12-22,Buy,SHOP,82509L107,SHOPIFY INC,2800,0.1979,,
ARKF,2020-12-22,Sell,ZS,98980G102,ZSCALER INC,989,0.0115,,
ARKF,2020-12-22,Sell,6618HK,G5074A100,JD HEALTH INTERNATIONAL INC,119600,0.1448,,
ARKF,2020-12-22,Sell,TRU,89400J107,TRANSUNION,41406,0.2312,,
ARKF,2020-12-22,Sell,IBKR,45841N107,INTERACTIVE BROKERS GROUP INC,63712,0.2166,,
ARKG,2020-12-22,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,31400,0.1012,,
ARKG,2020-12-22,Buy,VEEV,922475108,VEEVA SYSTEMS INC,141075,0.5456,,
ARKG,2020-12-22,Buy,RHHBY,771195104,ROCHE HOLDING AG,453924,0.2686,,
ARKG,2020-12-22,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,71363,0.4855,,
ARKG,2020-12-22,Buy,EXAS,30063P105,EXACT SCIENCES CORP,65076,0.1291,,
ARKG,2020-12-22,Buy,BLI,084310101,BERKELEY LIGHTS INC,2146,0.0028,,
ARKG,2020-12-22,Sell,EDIT,28106W103,EDITAS MEDICINE INC,168760,0.1914,,
ARKG,2020-12-22,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,156247,0.3721,,
ARKG,2020-12-22,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,92026,0.2069,,
ARKG,2020-12-22,Sell,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,86679,0.1434,,
ARKK,2020-12-22,Buy,SHOP,82509L107,SHOPIFY INC,44118,0.3057,,
ARKK,2020-12-22,Sell,XONE,302104104,EXONE CO/THE,91824,0.0059,,
ARKK,2020-12-22,Sell,EDIT,28106W103,EDITAS MEDICINE INC,183200,0.0818,,
ARKK,2020-12-22,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,142000,0.1334,,
ARKQ,2020-12-22,Buy,FLIR,302445101,FLIR SYSTEMS INC,101934,0.2795,,
ARKQ,2020-12-22,Sell,MTLS,57667T100,MATERIALISE NV,65871,0.2389,,
ARKW,2020-12-22,Sell,PD,69553P100,PAGERDUTY INC,209801,0.1811,,
ARKW,2020-12-22,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,172,0.0001,,
,,,,,,,,,
