INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-12-23,Buy,9923HK,G9835C108,YEAHKA LTD,594000,0.1526,,
ARKF,2020-12-23,Buy,KSPILI,48581R205,KASPI.KZ JSC,2517,0.0081,,
ARKF,2020-12-23,Buy,SHOP,82509L107,SHOPIFY INC,6600,0.436,,
ARKF,2020-12-23,Buy,TCSLI,87238U203,TCS GROUP HOLDING PLC,21955,0.0376,,
ARKF,2020-12-23,Sell,IBKR,45841N107,INTERACTIVE BROKERS GROUP INC,80925,0.2672,,
ARKF,2020-12-23,Sell,TRU,89400J107,TRANSUNION,74972,0.4082,,
ARKG,2020-12-23,Buy,VEEV,922475108,VEEVA SYSTEMS INC,107464,0.4054,,
ARKG,2020-12-23,Buy,TDOC,87918A105,TELADOC HEALTH INC,181803,0.5012,,
ARKG,2020-12-23,Buy,RHHBY,771195104,ROCHE HOLDING AG,258658,0.1442,,
ARKG,2020-12-23,Buy,NVS,66987V109,NOVARTIS AG,90543,0.105,,
ARKK,2020-12-23,Sell,EDIT,28106W103,EDITAS MEDICINE INC,132092,0.0555,,
ARKK,2020-12-23,Sell,XONE,302104104,EXONE CO/THE,64925,0.0043,,
ARKQ,2020-12-23,Buy,FLIR,302445101,FLIR SYSTEMS INC,18704,0.0509,,
ARKQ,2020-12-23,Sell,MTLS,57667T100,MATERIALISE NV,11253,0.0432,,
,,,,,,,,,
