INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-12-24,Buy,9923HK,G9835C108,YEAHKA LTD,373200,0.0955,,
ARKF,2020-12-24,Buy,KSPILI,48581R205,KASPI.KZ JSC,1494,0.0047,,
ARKF,2020-12-24,Buy,TCSLI,87238U203,TCS GROUP HOLDING PLC,9395,0.0158,,
ARKF,2020-12-24,Buy,WDAY,98138H101,WORKDAY INC,6163,0.0813,,
ARKF,2020-12-24,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,24876,0.0563,,
ARKF,2020-12-24,Sell,TRU,89400J107,TRANSUNION,34049,0.1811,,
ARKF,2020-12-24,Sell,IBKR,45841N107,INTERACTIVE BROKERS GROUP INC,30645,0.0985,,
ARKG,2020-12-24,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,11158,0.0337,,
ARKG,2020-12-24,Buy,VEEV,922475108,VEEVA SYSTEMS INC,23700,0.0888,,
ARKG,2020-12-24,Buy,TDOC,87918A105,TELADOC HEALTH INC,19262,0.0515,,
ARKG,2020-12-24,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,15323,0.0036,,
ARKG,2020-12-24,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,1297,0.0006,,
ARKG,2020-12-24,Buy,RHHBY,771195104,ROCHE HOLDING AG,254072,0.1392,,
ARKG,2020-12-24,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,6109,0.0384,,
ARKG,2020-12-24,Buy,NVS,66987V109,NOVARTIS AG,98758,0.1127,,
ARKG,2020-12-24,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,24779,0.0191,,
ARKG,2020-12-24,Buy,GOOGL,02079K305,ALPHABET INC,12006,0.2681,,
ARKG,2020-12-24,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,36641,0.0335,,
ARKG,2020-12-24,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,7002,0.008,,
ARKK,2020-12-24,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,296756,0.1094,,
ARKK,2020-12-24,Buy,SHOP,82509L107,SHOPIFY INC,13801,0.0894,,
ARKK,2020-12-24,Buy,NTDOY,654445303,NINTENDO CO LTD,5761,0.0024,,
ARKK,2020-12-24,Buy,BEKE,482497104,KE HOLDINGS INC,13530,0.0047,,
ARKK,2020-12-24,Sell,XONE,302104104,EXONE CO/THE,1330,0.0001,,
ARKQ,2020-12-24,Buy,NIU,65481N100,NIU TECHNOLOGIES,38731,0.0667,,
ARKQ,2020-12-24,Buy,MGA,559222401,MAGNA INTERNATIONAL INC,48490,0.2096,,
ARKQ,2020-12-24,Sell,MTLS,57667T100,MATERIALISE NV,4440,0.0159,,
ARKQ,2020-12-24,Sell,XLNX,983919101,XILINX INC,53727,0.4672,,
ARKW,2020-12-24,Sell,PD,69553P100,PAGERDUTY INC,16703,0.0141,,
ARKW,2020-12-24,Sell,PSTG,74624M102,PURE STORAGE INC,81584,0.0358,,
ARKW,2020-12-24,Sell,ROKU,77543R102,ROKU INC,55497,0.3631,,
ARKW,2020-12-24,Sell,SQ,852234103,SQUARE INC,87275,0.3666,,
,,,,,,,,,
