INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-12-28,Buy,BEKE,482497104,KE HOLDINGS INC,83700,0.2734,,
ARKF,2020-12-28,Buy,SHOP,82509L107,SHOPIFY INC,6479,0.3953,,
ARKF,2020-12-28,Sell,IBKR,45841N107,INTERACTIVE BROKERS GROUP INC,72593,0.2362,,
ARKF,2020-12-28,Sell,MELI,58733R102,MERCADOLIBRE INC,3463,0.3005,,
ARKF,2020-12-28,Sell,TRU,89400J107,TRANSUNION,1125,0.0059,,
ARKG,2020-12-28,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,1220,0.0005,,
ARKG,2020-12-28,Buy,SURF,86877M209,SURFACE ONCOLOGY INC,2262,0.0003,,
ARKG,2020-12-28,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,837892,0.1964,,
ARKG,2020-12-28,Buy,TDOC,87918A105,TELADOC HEALTH INC,194438,0.5044,,
ARKG,2020-12-28,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,56800,0.1739,,
ARKG,2020-12-28,Buy,RHHBY,771195104,ROCHE HOLDING AG,235865,0.1323,,
ARKG,2020-12-28,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,71933,0.4569,,
ARKG,2020-12-28,Buy,NVS,66987V109,NOVARTIS AG,274836,0.3254,,
ARKG,2020-12-28,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,201100,0.1566,,
ARKG,2020-12-28,Buy,GOOGL,02079K305,ALPHABET INC,1400,0.0319,,
ARKG,2020-12-28,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,22733,0.0216,,
ARKG,2020-12-28,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,31632,0.0386,,
ARKG,2020-12-28,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,22653,0.0477,,
ARKK,2020-12-28,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,131003,0.2593,,
ARKK,2020-12-28,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,333097,0.1242,,
ARKK,2020-12-28,Buy,SHOP,82509L107,SHOPIFY INC,17603,0.1161,,
ARKK,2020-12-28,Buy,NTDOY,654445303,NINTENDO CO LTD,160828,0.071,,
ARKK,2020-12-28,Buy,BEKE,482497104,KE HOLDINGS INC,491337,0.1702,,
ARKQ,2020-12-28,Buy,JD,47215P106,JD.COM INC,60463,0.3069,,
ARKQ,2020-12-28,Buy,MGA,559222401,MAGNA INTERNATIONAL INC,65858,0.3037,,
ARKQ,2020-12-28,Buy,NIU,65481N100,NIU TECHNOLOGIES,83600,0.1429,,
ARKQ,2020-12-28,Sell,XLNX,983919101,XILINX INC,14650,0.1294,,
ARKQ,2020-12-28,Sell,PRLB,743713109,PROTO LABS INC,14335,0.15,,
ARKQ,2020-12-28,Sell,MTLS,57667T100,MATERIALISE NV,2325,0.0086,,
ARKQ,2020-12-28,Sell,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,22133,0.0536,,
ARKW,2020-12-28,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,403688,0.5155,,
ARKW,2020-12-28,Buy,BABA,01609W102,ALIBABA GROUP HOLDING LTD,70952,0.2994,,
ARKW,2020-12-28,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,37839,0.2562,,
ARKW,2020-12-28,Sell,CRWD,22788C105,CROWDSTRIKE HOLDINGS INC,49074,0.1989,,
ARKW,2020-12-28,Sell,PD,69553P100,PAGERDUTY INC,108919,0.0921,,
ARKW,2020-12-28,Sell,PINS,72352L106,PINTEREST INC,152528,0.1976,,
ARKW,2020-12-28,Sell,PSTG,74624M102,PURE STORAGE INC,146636,0.0667,,
ARKW,2020-12-28,Sell,ROKU,77543R102,ROKU INC,103257,0.6733,,
ARKW,2020-12-28,Sell,TSLA,88160R101,TESLA INC,44149,0.5566,,
,,,,,,,,,
