INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-12-29,Buy,BABA,01609W102,ALIBABA GROUP HOLDING LTD,18710,0.2257,,
ARKF,2020-12-29,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,180804,0.6489,,
ARKF,2020-12-29,Sell,IBKR,45841N107,INTERACTIVE BROKERS GROUP INC,78541,0.2528,,
ARKG,2020-12-29,Buy,TDOC,87918A105,TELADOC HEALTH INC,118367,0.3152,,
ARKG,2020-12-29,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,293052,0.0724,,
ARKG,2020-12-29,Buy,SURF,86877M209,SURFACE ONCOLOGY INC,185370,0.0223,,
ARKG,2020-12-29,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,12975,0.0059,,
ARKG,2020-12-29,Buy,RHHBY,771195104,ROCHE HOLDING AG,651703,0.3807,,
ARKG,2020-12-29,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,33337,0.2188,,
ARKG,2020-12-29,Buy,NVS,66987V109,NOVARTIS AG,127579,0.1602,,
ARKG,2020-12-29,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,12707,0.0099,,
ARKG,2020-12-29,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,57951,0.0552,,
ARKG,2020-12-29,Buy,BLI,084310101,BERKELEY LIGHTS INC,73600,0.0912,,
ARKG,2020-12-29,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,96000,0.1105,,
ARKK,2020-12-29,Buy,NTDOY,654445303,NINTENDO CO LTD,72600,0.0327,,
ARKK,2020-12-29,Buy,BEKE,482497104,KE HOLDINGS INC,72500,0.0257,,
ARKQ,2020-12-29,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,71299,0.3016,,
ARKQ,2020-12-29,Sell,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,33200,0.077,,
ARKQ,2020-12-29,Sell,PRLB,743713109,PROTO LABS INC,12321,0.1214,,
ARKW,2020-12-29,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,101441,0.1328,,
,,,,,,,,,
