INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-12-30,Buy,KSPI,48581R205,JSC KASPI.KZ GDR-REG S,1781,0.01,,
ARKF,2020-12-30,Buy,TCS,87238U203,TCS GROUP HOLDING -REG S,23134,0.04,,
ARKG,2020-12-30,Buy,NVS,66987V109,NOVARTIS AG-SPONSORED ADR,14273,0.02,,
ARKG,2020-12-30,Buy,RHHBY,771195104,ROCHE HOLDINGS LTD-SPONS ADR,225178,0.13,,
ARKG,2020-12-30,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,17290,0.01,,
ARKG,2020-12-30,Buy,TAK,874060205,TAKEDA PHARMACEUTIC-SP ADR,158600,0.04,,
ARKK,2020-12-30,Buy,NTDOY,654445303,NINTENDO CO LTD-UNSPONS ADR,46444,0.02,,
ARKK,2020-12-30,Buy,BIDU,056752108,BAIDU INC - SPON ADR,641772,0.77,,
ARKK,2020-12-30,Sell,TSLA,88160R101,TESLA MOTORS INC,129827,0.5,,
ARKK,2020-12-30,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR-SP ADR,535882,0.33,,
ARKK,2020-12-30,Sell,XONE,302104104,EXONE CO/THE,195000,0.01,,
ARKW,2020-12-30,Buy,BIDU,056752108,BAIDU INC - SPON ADR,184557,0.75,,
ARKW,2020-12-30,Sell,TSLA,88160R101,TESLA MOTORS INC,19139,0.25,,
ARKW,2020-12-30,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR-SP ADR,75242,0.15,,
ARKW,2020-12-30,Sell,TWLO,90138F102,TWILIO INC - A,53520,0.35,,
,,,,,,,,,
