INTRA-DAY TRADE TO TOTAL FUND HOLDINGS (NOT INDIVIDUAL BASKET),,,,,,,,,
"Trade notifications are for informational purposes only. ARK offers fully transparent ETFs and provides trade information for all actively managed ETFs. ARK’s statements are not an endorsement of any company or a recommendation to buy, sell or hold any security. Trade notification files are not provided until full trade execution at the end of a trading day. ARK may not trade every day. The time stamp of the email is the time of file upload and not necessarily the exact time of the trades. Files of trades are not comprehensive lists of a day's trades for the ARK ETFs, but instead contain the most recent trades made in the ARK ETFs' portfolios. Additional files may be posted at a later time. Most ARK ETF portfolio trades settle on a T+2 basis. These files represent an unofficial account, as all accounting and custody for the ARK ETFs is performed by BNY Mellon. Updated ARK ETF end of day holdings are available on https://ark-funds.com/investor-resources

ARK Trade Desk
212.426.7040
ark@ark-invest.com",,,,,,,,,
,,,,,,,,,
FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,
ARKF,2020-12-31,Buy,TCS.GB,87238U203,TCS GROUP HOLDING -REG S,8317,0.01,,
ARKF,2020-12-31,Buy,KSPI.GB,48581R205,JSC KASPI.KZ GDR-REG S,2519,0.01,,
ARKG,2020-12-31,Buy,TDOC.US,87918A105,TELADOC INC,95689,0.25,,
ARKG,2020-12-31,Buy,RPTX.US,760273102,REPARE THERAPEUTICS INC,12547,0.01,,
ARKG,2020-12-31,Buy,RHHBY.US,771195104,ROCHE HOLDINGS LTD-SPONS ADR,76600,0.04,,
ARKG,2020-12-31,Buy,REGN.US,75886F107,REGENERON PHARMACEUTICALS,58144,0.36,,
ARKG,2020-12-31,Buy,NVS.US,66987V109,NOVARTIS AG-SPONSORED ADR,58964,0.07,,
ARKK,2020-12-31,Buy,ZM.US,98980L101,ZOOM VIDEO COMMUNICATIONS-A,105220,0.2,,
ARKK,2020-12-31,Sell,TSLA.US,88160R101,TESLA MOTORS INC,50227,0.2,,
ARKW,2020-12-31,Buy,ZM.US,98980L101,ZOOM VIDEO COMMUNICATIONS-A,30100,0.2,,
ARKW,2020-12-31,Sell,TSLA.US,88160R101,TESLA MOTORS INC,14999,0.2,,
,,,,,,,,,
